Mã trường,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Năm xét tuyển,Ghi chú,Môn chính
BVH,7510301,"Công nghệ Kỹ thuật Điện, điện tử",A00;A01,25.46,2024,TTNV<=2,
BVH,7510301,"Công nghệ Kỹ thuật Điện, điện tử",A00;A01;X06;X26,24.61,2025,,
BVH,7520207,Kỹ thuật điện tử - viễn thông,A00;A01,21.95,2019,TTNV <=4,
BVH,7520207,Kỹ thuật Điện tử viễn thông,A00;A01,25.25,2020,TTNV <= 4,
BVH,7520207,Kỹ thuật Điện tử viễn thông,A00;A01,25.65,2021,TTNV = 1,
BVH,7520207,Kỹ thuật Điện tử viễn thông,A00;A01,25.6,2022,TTNV <= 3,
BVH,7520207,Kỹ thuật Điện tử viễn thông,A00;A01,25.68,2023,TTNV = 1,
BVH,7520207,Kỹ thuật Điện tử viễn thông,A00;A01,25.75,2024,TTNV= 1,
BVH,7520207,Kỹ thuật Điện tử viễn thông,A00;A01;X06;X26,25.1,2025,,
BVS,7329001,Công nghệ đa phương tiện,A00;A01;D01,21,2019,TTNV <= 6,
BVS,7329001,Công nghệ đa phương tiện,A00;A01;D01,23.8,2020,TTNV <= 8,
BVS,7329001,Công nghệ đa phương tiện,A00;A01;D01,25.05,2021,TTNV <= 20,
BVS,7329001,Công nghệ đa phương tiện,A00;A01;D01,24.25,2022,TTNV <= 8,
BVS,7329001,Công nghệ đa phương tiện,A00;A01;D01,24.05,2023,TTNV = 1,
BVS,7329001,Công nghệ đa phương tiện,A00;A01;D01,23.95,2024,TTNV<=3,
BVS,7329001,Công nghệ đa phương tiện,A00;A01;D01;X06;X26,21.35,2025,,
BVS,7340101,Quản trị kinh doanh,A00;A01;D01,19.7,2019,TTNV <= 3,
BVS,7340101,Quản trị kinh doanh,A00;A01;D01,23.5,2020,TTNV <= 6,
BVS,7340101,Quản trị kinh doanh,A00;A01;D01,25,2021,TTNV <= 11,
BVS,7340101,Quản trị kinh doanh,A00;A01;D01,21.7,2022,TTNV <= 3,
BVS,7340101,Quản trị kinh doanh,A00;A01;D01,22.8,2023,TTNV <= 16,
BVS,7340101,Quản trị kinh doanh,A00;A01;D01,18.4,2024,TTNV<=3,
BVS,7340101,Quản trị kinh doanh,A00;A01;D01;X06;X26,17.2,2025,,
BVS,7340115,Marketing,A00;A01;D01,21.2,2019,TTNV <= 6,
BVS,7340115,Marketing,A00;A01;D01,24.6,2020,TTNV <= 6,
BVS,7340115,Marketing,A00;A01;D01,25.65,2021,TTNV <= 6,
BVS,7340115,Marketing,A00;A01;D01,24.85,2022,TTNV <= 7,
BVS,7340115,Marketing,A00;A01;D01,24.1,2023,TTNV <= 7,
BVS,7340115,Marketing,A00;A01;D01,24.24,2024,TTNV<=5,
BVS,7340115,Marketing,A00;A01;D01;X06;X26,21.25,2025,,
BVS,7340301,Kế toán,A00;A01;D01,18,2019,TTNV <= 12,
BVS,7340301,Kế toán,A00;A01;D01,21.7,2020,TTNV <=4,
BVS,7340301,Kế toán,A00;A01;D01,23.95,2021,TTNV <= 7,
BVS,7340301,Kế toán,A00;A01;D01,22.9,2022,TTNV <= 7,
BVS,7340301,Kế toán,A00;A01;D01,20,2023,TTNV = 1,
BVS,7340301,Kế toán,A00;A01;D01,20.95,2024,TTNV<=23,
BVS,7340301,Kế toán,A00;A01;D01;X06;X26,16.25,2025,,
BVS,7480201,Công nghệ thông tin,A00;A01,22,2019,TTNV <= 6,
BVS,7480201,Công nghệ thông tin,A00;A01,25.1,2020,TTNV <= 11,
BVS,7480201,Công nghệ thông tin,A00;A01,25.9,2021,TTNV <= 9,
BVS,7480201,Công nghệ thông tin,A00;A01,25.85,2022,TTNV <= 7,
BVS,7480201,Công nghệ thông tin,A00;A01,25.1,2023,TTNV <= 10,
BVS,7480201,Công nghệ thông tin,A00;A01,25.17,2024,TTNV<=8,
BVS,7480201,Công nghệ thông tin,A00;A01;X06;X26,23.47,2025,,
BVS,7480202,An toàn thông tin,A00;A01,20,2019,TTNV = 0,
BVS,7480202,An toàn thông tin,A00;A01,24.2,2020,TTNV <= 18,
BVS,7480202,An toàn thông tin,A00;A01,25.4,2021,TTNV <= 11,
BVS,7480202,An toàn thông tin,A00;A01,25.05,2022,TTNV <= 7,
BVS,7480202,An toàn thông tin,A00;A01,24.44,2023,TTNV <= 17,
BVS,7480202,An toàn thông tin,A00;A01,24.68,2024,TTNV<=11,
BVS,7480202,An toàn thông tin,A00;A01;X06;X26,23.09,2025,,
BVS,7510301,"Công nghệ kỹ thuật điện, điện tử",A00;A01,17,2019,TTNV <= 4,
BVS,7510301,"Công nghệ KT Điện, điện tử",A00;A01,20.25,2020,TTNV <= 2,
BVS,7510301,"Công nghệ KT Điện, điện tử",A00;A01,19.3,2021,TTNV <= 2,
BVS,7510301,"Công nghệ kỹ thuật Điện, điện tử",A00;A01,19,2022,TTNV <= 2,
BVS,7510301,"Công nghệ Kỹ thuật Điện, điện tử",A00;A01,18.15,2023,TTNV <= 3,
BVS,7510301,"Công nghệ Kỹ thuật Điện, điện tử",A00;A01,20.85,2024,TTNV<=4,
BVS,7510301,"Công nghệ kỹ thuật điện, điện tử",A00;A01;X06;X26,20,2025,,
BVS,7520207,Kỹ thuật điện tử viễn thông,A00;A01,17,2019,TTNV <= 2,
BVS,7520207,Kỹ thuật Điện tử viễn thông,A00;A01,20,2020,TTNV <= 5,
BVS,7520207,Kỹ thuật Điện tử viễn thông,A00;A01,22.7,2021,TTNV <= 3,
BVS,7520207,Kỹ thuật Điện tử viễn thông,A00;A01,21,2022,TTNV <= 3,
BVS,7520207,Kỹ thuật Điện tử viễn thông,A00;A01,21.9,2023,TTNV <= 9,
BVS,7520207,Kỹ thuật Điện tử viễn thông,A00;A01,23.23,2024,TTNV<=7,
BVS,7520207,kỹ thuật điện tử viễn thông,A00;A01;X06;X26,21,2025,,
BVU,7220201,Ngôn ngữ Anh,A01;D01;D14;D15,14,2019,,
BVU,7220201,Ngôn ngữ Anh (3 chuyên ngành: Tiếng Anh thương mại; Tiếng Anh du lịch; Phương pháp giảng dạy tiếng Anh),A01;D01;D14;D15,15,2020,,
BVU,7220201,Ngôn ngữ Anh,A01;D01;D14;D15,15,2021,,
BVU,7220201,Ngôn ngữ Anh,A01;D01;D15;D66,15,2022,,
BVU,7220201,Ngôn ngữ Anh,A01;D01;D15;D66,15,2023,,
BVU,7220201,Ngôn ngữ Anh,A01;D01;D15;D66,15,2024,"CTC, NN Anh/Hàn/Nhật/Trung",
BVU,7220201,Ngôn ngữ Anh,A01;D01;D14;D15,15,2025,,
BVU,7340101,Quản trị kinh doanh,A00;C00;C01;D01,14,2019,,
BVU,7340101,Quản trị kinh doanh (7 chuyên ngành: Quản trị doanh nghiệp; Quản trị Du lịch - Nhà hàng - Khách sạn; Kinh doanh quốc tế; Quản trị marketing và tổ chức sự kiện; Quản trị Tài chính - Ngân hàng; Quản trị truyền thông đa phương tiện; Kinh doanh kỹ thuật số,A00;C00;C01;D01,15,2020,,
BVU,7340101,Quản trị kinh doanh,A00;C00;C20;D01,15,2021,,
BVU,7340101,Quản trị kinh doanh,A00;C00;C20;D01,15,2022,,
BVU,7340101,Quản trị kinh doanh,A00;C00;C20;D01,15,2023,,
BVU,7340101,Quản trị kinh doanh,A00;A01;C00;D01,15,2024,"CTC học Tiếng Việt, NN Tiếng Anh",
BVU,7340101,Quản trị kinh doanh,A00;A01;C00;D01,15,2025,,
BVU,7340301,Kế toán,A00;A04;C01;D01,14,2019,,
BVU,7340301,Kế toán (2 chuyên ngành: Kế toán kiểm toán; Kế toán tài chính),A00;A04;C01;D01,15,2020,,
BVU,7340301,Kế toán,A00;A09;C04;D01,15,2021,,
BVU,7340301,Kế toán,A00;A01;C14;D01,15,2022,,
BVU,7340301,Kế toán,A00;A01;C14;D01,15,2023,,
BVU,7340301,Kế toán,A00;A01;C00;D01,15,2024,"CTC học Tiếng Việt, NN Tiếng Anh",
BVU,7340301,Kế toán,A00;A01;C00;D01,15,2025,,
BVU,7380101,Luật,A00;A01;C00;D01,14,2019,,
BVU,7380101,Luật (3 chuyên ngành: Luật kinh tế; Luật thương mại quốc tế; Luật hành chính),A00;A01;C00;D01,15,2020,,
BVU,7380101,Luật,A00;A01;C00;D01,15,2021,,
BVU,7380101,Luật,A00;C00;C20;D01,15,2022,,
BVU,7380101,Luật,A00;C00;C20;D01,15,2023,,
BVU,7380101,Luật,A01;C00;C20;D01,15,2024,"CTC học Tiếng Việt, NN Tiếng Anh",
BVU,7380101,Luật,A01;C00;D01;X01,15,2025,,
BVU,7480201,Công nghệ thông tin,A00;A01;A04;D01,14,2019,,
BVU,7480201,Công nghệ thông tin (Công nghệ thông tin; Quản trị mạng và an toàn thông tin),A00;A01;A04,15,2020,,
BVU,7480201,Công nghệ thông tin,A00;A01;A02;D01,15,2021,,
BVU,7480201,Công nghệ thông tin,A00;A01;C01;D01,15,2022,,
BVU,7480201,Công nghệ thông tin,A00;A01;C01;D01,15,2023,,
BVU,7480201,Công nghệ thông tin,A00;A01;C00;D01,15,2024,"CTC học Tiếng Việt, NN Tiếng Anh",
