MA_TINH,NĂM_THI,KHOI_THI,GRID_ID,SO_THI_SINH,MOC_DIEM
54,2019,A00,6_4,842,15.00
54,2019,A00,6_4,840,15.05
54,2019,A00,6_4,837,15.10
54,2019,A00,6_4,834,15.15
54,2019,A00,6_4,833,15.20
54,2019,A00,6_4,831,15.25
54,2019,A00,6_4,829,15.30
54,2019,A00,6_4,829,15.35
54,2019,A00,6_4,829,15.40
54,2019,A00,6_4,826,15.45
54,2019,A00,6_4,825,15.50
54,2019,A00,6_4,825,15.55
54,2019,A00,6_4,823,15.60
54,2019,A00,6_4,819,15.65
54,2019,A00,6_4,813,15.70
54,2019,A00,6_4,813,15.75
54,2019,A00,6_4,810,15.80
54,2019,A00,6_4,807,15.85
54,2019,A00,6_4,805,15.90
54,2019,A00,6_4,802,15.95
54,2019,A00,6_4,799,16.00
54,2019,A00,6_4,797,16.05
54,2019,A00,6_4,796,16.10
54,2019,A00,6_4,793,16.15
54,2019,A00,6_4,792,16.20
54,2019,A00,6_4,788,16.25
54,2019,A00,6_4,785,16.30
54,2019,A00,6_4,781,16.35
54,2019,A00,6_4,779,16.40
54,2019,A00,6_4,778,16.45
54,2019,A00,6_4,774,16.50
54,2019,A00,6_4,772,16.55
54,2019,A00,6_4,769,16.60
54,2019,A00,6_4,766,16.65
54,2019,A00,6_4,765,16.70
54,2019,A00,6_4,764,16.75
54,2019,A00,6_4,764,16.80
54,2019,A00,6_4,762,16.85
54,2019,A00,6_4,756,16.90
54,2019,A00,6_4,751,16.95
54,2019,A00,6_4,747,17.00
54,2019,A00,6_4,745,17.05
54,2019,A00,6_4,743,17.10
54,2019,A00,6_4,741,17.15
54,2019,A00,6_4,738,17.20
54,2019,A00,6_4,731,17.25
54,2019,A00,6_4,730,17.30
54,2019,A00,6_4,727,17.35
54,2019,A00,6_4,723,17.40
54,2019,A00,6_4,719,17.45
54,2019,A00,6_4,714,17.50
54,2019,A00,6_4,712,17.55
54,2019,A00,6_4,707,17.60
54,2019,A00,6_4,703,17.65
54,2019,A00,6_4,695,17.70
54,2019,A00,6_4,688,17.75
54,2019,A00,6_4,687,17.80
54,2019,A00,6_4,683,17.85
54,2019,A00,6_4,673,17.90
54,2019,A00,6_4,670,17.95
54,2019,A00,6_4,666,18.00
54,2019,A00,6_4,662,18.05
54,2019,A00,6_4,656,18.10
54,2019,A00,6_4,645,18.15
54,2019,A00,6_4,640,18.20
54,2019,A00,6_4,636,18.25
54,2019,A00,6_4,632,18.30
54,2019,A00,6_4,620,18.35
54,2019,A00,6_4,613,18.40
54,2019,A00,6_4,608,18.45
54,2019,A00,6_4,601,18.50
54,2019,A00,6_4,594,18.55
54,2019,A00,6_4,583,18.60
54,2019,A00,6_4,576,18.65
54,2019,A00,6_4,571,18.70
54,2019,A00,6_4,562,18.75
54,2019,A00,6_4,555,18.80
54,2019,A00,6_4,545,18.85
54,2019,A00,6_4,543,18.90
54,2019,A00,6_4,539,18.95
54,2019,A00,6_4,532,19.00
54,2019,A00,6_4,528,19.05
54,2019,A00,6_4,519,19.10
54,2019,A00,6_4,510,19.15
54,2019,A00,6_4,504,19.20
54,2019,A00,6_4,496,19.25
54,2019,A00,6_4,489,19.30
54,2019,A00,6_4,483,19.35
54,2019,A00,6_4,475,19.40
54,2019,A00,6_4,471,19.45
54,2019,A00,6_4,460,19.50
54,2019,A00,6_4,455,19.55
54,2019,A00,6_4,451,19.60
54,2019,A00,6_4,445,19.65
54,2019,A00,6_4,438,19.70
54,2019,A00,6_4,429,19.75
54,2019,A00,6_4,417,19.80
54,2019,A00,6_4,409,19.85
54,2019,A00,6_4,399,19.90
54,2019,A00,6_4,389,19.95
54,2019,A00,6_4,383,20.00
54,2019,A00,6_4,376,20.05
54,2019,A00,6_4,369,20.10
54,2019,A00,6_4,360,20.15
54,2019,A00,6_4,352,20.20
54,2019,A00,6_4,345,20.25
54,2019,A00,6_4,341,20.30
54,2019,A00,6_4,332,20.35
54,2019,A00,6_4,328,20.40
54,2019,A00,6_4,325,20.45
54,2019,A00,6_4,308,20.50
54,2019,A00,6_4,301,20.55
54,2019,A00,6_4,291,20.60
54,2019,A00,6_4,283,20.65
54,2019,A00,6_4,277,20.70
54,2019,A00,6_4,271,20.75
54,2019,A00,6_4,265,20.80
54,2019,A00,6_4,259,20.85
54,2019,A00,6_4,250,20.90
54,2019,A00,6_4,241,20.95
54,2019,A00,6_4,234,21.00
54,2019,A00,6_4,230,21.05
54,2019,A00,6_4,225,21.10
54,2019,A00,6_4,221,21.15
54,2019,A00,6_4,216,21.20
54,2019,A00,6_4,207,21.25
54,2019,A00,6_4,201,21.30
54,2019,A00,6_4,196,21.35
54,2019,A00,6_4,195,21.40
54,2019,A00,6_4,190,21.45
54,2019,A00,6_4,184,21.50
54,2019,A00,6_4,178,21.55
54,2019,A00,6_4,174,21.60
54,2019,A00,6_4,164,21.65
54,2019,A00,6_4,161,21.70
54,2019,A00,6_4,152,21.75
54,2019,A00,6_4,147,21.80
54,2019,A00,6_4,144,21.85
54,2019,A00,6_4,135,21.90
54,2019,A00,6_4,127,21.95
54,2019,A00,6_4,125,22.00
54,2019,A00,6_4,123,22.05
54,2019,A00,6_4,119,22.10
54,2019,A00,6_4,115,22.15
54,2019,A00,6_4,111,22.20
54,2019,A00,6_4,106,22.25
54,2019,A00,6_4,101,22.30
54,2019,A00,6_4,99,22.35
54,2019,A00,6_4,96,22.40
54,2019,A00,6_4,94,22.45
54,2019,A00,6_4,92,22.50
54,2019,A00,6_4,91,22.55
54,2019,A00,6_4,88,22.60
54,2019,A00,6_4,87,22.65
54,2019,A00,6_4,85,22.70
54,2019,A00,6_4,80,22.75
54,2019,A00,6_4,77,22.80
54,2019,A00,6_4,76,22.85
54,2019,A00,6_4,72,22.90
54,2019,A00,6_4,68,22.95
54,2019,A00,6_4,63,23.00
54,2019,A00,6_4,57,23.05
54,2019,A00,6_4,55,23.10
54,2019,A00,6_4,54,23.15
54,2019,A00,6_4,50,23.20
54,2019,A00,6_4,48,23.25
54,2019,A00,6_4,43,23.30
54,2019,A00,6_4,43,23.35
54,2019,A00,6_4,40,23.40
54,2019,A00,6_4,39,23.45
54,2019,A00,6_4,38,23.50
54,2019,A00,6_4,37,23.55
54,2019,A00,6_4,36,23.60
54,2019,A00,6_4,33,23.65
54,2019,A00,6_4,30,23.70
54,2019,A00,6_4,28,23.75
54,2019,A00,6_4,25,23.80
54,2019,A00,6_4,21,23.85
54,2019,A00,6_4,19,23.90
54,2019,A00,6_4,19,23.95
54,2019,A00,6_4,17,24.00
54,2019,A00,6_4,15,24.05
54,2019,A00,6_4,14,24.10
54,2019,A00,6_4,13,24.15
54,2019,A00,6_4,13,24.20
54,2019,A00,6_4,13,24.25
54,2019,A00,6_4,12,24.30
54,2019,A00,6_4,11,24.35
54,2019,A00,6_4,11,24.40
54,2019,A00,6_4,11,24.45
54,2019,A00,6_4,11,24.50
54,2019,A00,6_4,10,24.55
54,2019,A00,6_4,8,24.60
54,2019,A00,6_4,7,24.65
54,2019,A00,6_4,7,24.70
54,2019,A00,6_4,6,24.75
54,2019,A00,6_4,6,24.80
54,2019,A00,6_4,4,24.85
54,2019,A00,6_4,4,24.90
54,2019,A00,6_4,4,24.95
54,2019,A00,6_4,4,25.00
54,2019,A00,6_4,4,25.05
54,2019,A00,6_4,4,25.10
54,2019,A00,6_4,3,25.15
54,2019,A00,6_4,2,25.20
54,2019,A00,6_4,2,25.25
54,2019,A00,6_4,2,25.30
54,2019,A00,6_4,2,25.35
54,2019,A00,6_4,2,25.40
54,2019,A00,6_4,2,25.45
54,2019,A00,6_4,2,25.50
54,2019,A00,6_4,1,25.55
54,2019,A00,6_4,1,25.60
54,2019,A00,6_4,1,25.65
54,2019,A00,6_4,1,25.70
54,2019,A00,6_4,1,25.75
54,2019,A00,6_4,1,25.80
54,2019,A00,6_4,1,25.85
54,2019,A00,6_4,1,25.90
54,2019,A00,6_4,1,25.95
54,2019,A00,6_4,1,26.00
54,2019,A00,6_4,1,26.05
54,2019,A00,6_4,1,26.10
54,2019,A00,6_4,1,26.15
54,2019,A00,6_4,1,26.20
54,2019,A00,6_4,1,26.25
54,2019,A00,6_4,1,26.30
54,2019,A00,6_4,1,26.35
54,2019,A01,6_4,397,15.00
54,2019,A01,6_4,397,15.05
54,2019,A01,6_4,397,15.10
54,2019,A01,6_4,395,15.15
54,2019,A01,6_4,395,15.20
54,2019,A01,6_4,395,15.25
54,2019,A01,6_4,393,15.30
54,2019,A01,6_4,392,15.35
54,2019,A01,6_4,392,15.40
54,2019,A01,6_4,392,15.45
54,2019,A01,6_4,392,15.50
54,2019,A01,6_4,391,15.55
54,2019,A01,6_4,390,15.60
54,2019,A01,6_4,390,15.65
54,2019,A01,6_4,390,15.70
54,2019,A01,6_4,390,15.75
54,2019,A01,6_4,388,15.80
54,2019,A01,6_4,387,15.85
54,2019,A01,6_4,387,15.90
54,2019,A01,6_4,384,15.95
54,2019,A01,6_4,383,16.00
54,2019,A01,6_4,382,16.05
54,2019,A01,6_4,382,16.10
54,2019,A01,6_4,382,16.15
54,2019,A01,6_4,382,16.20
54,2019,A01,6_4,382,16.25
54,2019,A01,6_4,380,16.30
54,2019,A01,6_4,379,16.35
54,2019,A01,6_4,379,16.40
54,2019,A01,6_4,379,16.45
54,2019,A01,6_4,378,16.50
54,2019,A01,6_4,376,16.55
54,2019,A01,6_4,374,16.60
54,2019,A01,6_4,374,16.65
54,2019,A01,6_4,372,16.70
54,2019,A01,6_4,371,16.75
54,2019,A01,6_4,370,16.80
54,2019,A01,6_4,370,16.85
54,2019,A01,6_4,369,16.90
54,2019,A01,6_4,369,16.95
54,2019,A01,6_4,369,17.00
54,2019,A01,6_4,367,17.05
54,2019,A01,6_4,366,17.10
54,2019,A01,6_4,364,17.15
54,2019,A01,6_4,363,17.20
54,2019,A01,6_4,363,17.25
54,2019,A01,6_4,362,17.30
54,2019,A01,6_4,362,17.35
54,2019,A01,6_4,359,17.40
54,2019,A01,6_4,358,17.45
54,2019,A01,6_4,357,17.50
54,2019,A01,6_4,355,17.55
54,2019,A01,6_4,352,17.60
54,2019,A01,6_4,352,17.65
54,2019,A01,6_4,349,17.70
54,2019,A01,6_4,348,17.75
54,2019,A01,6_4,348,17.80
54,2019,A01,6_4,348,17.85
54,2019,A01,6_4,347,17.90
54,2019,A01,6_4,345,17.95
54,2019,A01,6_4,343,18.00
54,2019,A01,6_4,343,18.05
54,2019,A01,6_4,343,18.10
54,2019,A01,6_4,341,18.15
54,2019,A01,6_4,336,18.20
54,2019,A01,6_4,333,18.25
54,2019,A01,6_4,329,18.30
54,2019,A01,6_4,328,18.35
54,2019,A01,6_4,327,18.40
54,2019,A01,6_4,324,18.45
54,2019,A01,6_4,322,18.50
54,2019,A01,6_4,318,18.55
54,2019,A01,6_4,314,18.60
54,2019,A01,6_4,313,18.65
54,2019,A01,6_4,312,18.70
54,2019,A01,6_4,312,18.75
54,2019,A01,6_4,311,18.80
54,2019,A01,6_4,308,18.85
54,2019,A01,6_4,305,18.90
54,2019,A01,6_4,303,18.95
54,2019,A01,6_4,301,19.00
54,2019,A01,6_4,301,19.05
54,2019,A01,6_4,298,19.10
54,2019,A01,6_4,294,19.15
54,2019,A01,6_4,290,19.20
54,2019,A01,6_4,288,19.25
54,2019,A01,6_4,286,19.30
54,2019,A01,6_4,284,19.35
54,2019,A01,6_4,284,19.40
54,2019,A01,6_4,278,19.45
54,2019,A01,6_4,277,19.50
54,2019,A01,6_4,271,19.55
54,2019,A01,6_4,270,19.60
54,2019,A01,6_4,270,19.65
