MA_TINH,NĂM_THI,KHOI_THI,GRID_ID,SO_THI_SINH,MOC_DIEM
10,2019,A00,9_27,323,15.00
10,2019,A00,9_27,322,15.05
10,2019,A00,9_27,320,15.10
10,2019,A00,9_27,319,15.15
10,2019,A00,9_27,319,15.20
10,2019,A00,9_27,318,15.25
10,2019,A00,9_27,317,15.30
10,2019,A00,9_27,316,15.35
10,2019,A00,9_27,315,15.40
10,2019,A00,9_27,314,15.45
10,2019,A00,9_27,312,15.50
10,2019,A00,9_27,311,15.55
10,2019,A00,9_27,311,15.60
10,2019,A00,9_27,310,15.65
10,2019,A00,9_27,308,15.70
10,2019,A00,9_27,308,15.75
10,2019,A00,9_27,307,15.80
10,2019,A00,9_27,307,15.85
10,2019,A00,9_27,307,15.90
10,2019,A00,9_27,307,15.95
10,2019,A00,9_27,307,16.00
10,2019,A00,9_27,306,16.05
10,2019,A00,9_27,305,16.10
10,2019,A00,9_27,303,16.15
10,2019,A00,9_27,303,16.20
10,2019,A00,9_27,302,16.25
10,2019,A00,9_27,301,16.30
10,2019,A00,9_27,301,16.35
10,2019,A00,9_27,301,16.40
10,2019,A00,9_27,299,16.45
10,2019,A00,9_27,299,16.50
10,2019,A00,9_27,297,16.55
10,2019,A00,9_27,294,16.60
10,2019,A00,9_27,293,16.65
10,2019,A00,9_27,293,16.70
10,2019,A00,9_27,290,16.75
10,2019,A00,9_27,290,16.80
10,2019,A00,9_27,290,16.85
10,2019,A00,9_27,290,16.90
10,2019,A00,9_27,290,16.95
10,2019,A00,9_27,289,17.00
10,2019,A00,9_27,288,17.05
10,2019,A00,9_27,287,17.10
10,2019,A00,9_27,287,17.15
10,2019,A00,9_27,286,17.20
10,2019,A00,9_27,285,17.25
10,2019,A00,9_27,283,17.30
10,2019,A00,9_27,282,17.35
10,2019,A00,9_27,281,17.40
10,2019,A00,9_27,279,17.45
10,2019,A00,9_27,279,17.50
10,2019,A00,9_27,279,17.55
10,2019,A00,9_27,277,17.60
10,2019,A00,9_27,276,17.65
10,2019,A00,9_27,273,17.70
10,2019,A00,9_27,269,17.75
10,2019,A00,9_27,266,17.80
10,2019,A00,9_27,263,17.85
10,2019,A00,9_27,262,17.90
10,2019,A00,9_27,260,17.95
10,2019,A00,9_27,257,18.00
10,2019,A00,9_27,253,18.05
10,2019,A00,9_27,252,18.10
10,2019,A00,9_27,250,18.15
10,2019,A00,9_27,247,18.20
10,2019,A00,9_27,246,18.25
10,2019,A00,9_27,244,18.30
10,2019,A00,9_27,240,18.35
10,2019,A00,9_27,236,18.40
10,2019,A00,9_27,234,18.45
10,2019,A00,9_27,233,18.50
10,2019,A00,9_27,232,18.55
10,2019,A00,9_27,230,18.60
10,2019,A00,9_27,229,18.65
10,2019,A00,9_27,224,18.70
10,2019,A00,9_27,223,18.75
10,2019,A00,9_27,222,18.80
10,2019,A00,9_27,221,18.85
10,2019,A00,9_27,219,18.90
10,2019,A00,9_27,216,18.95
10,2019,A00,9_27,216,19.00
10,2019,A00,9_27,216,19.05
10,2019,A00,9_27,215,19.10
10,2019,A00,9_27,215,19.15
10,2019,A00,9_27,215,19.20
10,2019,A00,9_27,213,19.25
10,2019,A00,9_27,209,19.30
10,2019,A00,9_27,205,19.35
10,2019,A00,9_27,202,19.40
10,2019,A00,9_27,197,19.45
10,2019,A00,9_27,195,19.50
10,2019,A00,9_27,194,19.55
10,2019,A00,9_27,189,19.60
10,2019,A00,9_27,187,19.65
10,2019,A00,9_27,186,19.70
10,2019,A00,9_27,184,19.75
10,2019,A00,9_27,180,19.80
10,2019,A00,9_27,176,19.85
10,2019,A00,9_27,175,19.90
