MA_TINH,NĂM_THI,KHOI_THI,GRID_ID,SO_THI_SINH,MOC_DIEM
41,2019,A00,14_8,1662,15.00
41,2019,A00,14_8,1661,15.05
41,2019,A00,14_8,1661,15.10
41,2019,A00,14_8,1659,15.15
41,2019,A00,14_8,1658,15.20
41,2019,A00,14_8,1655,15.25
41,2019,A00,14_8,1651,15.30
41,2019,A00,14_8,1650,15.35
41,2019,A00,14_8,1647,15.40
41,2019,A00,14_8,1646,15.45
41,2019,A00,14_8,1641,15.50
41,2019,A00,14_8,1637,15.55
41,2019,A00,14_8,1631,15.60
41,2019,A00,14_8,1630,15.65
41,2019,A00,14_8,1629,15.70
41,2019,A00,14_8,1625,15.75
41,2019,A00,14_8,1623,15.80
41,2019,A00,14_8,1623,15.85
41,2019,A00,14_8,1621,15.90
41,2019,A00,14_8,1614,15.95
41,2019,A00,14_8,1608,16.00
41,2019,A00,14_8,1603,16.05
41,2019,A00,14_8,1599,16.10
41,2019,A00,14_8,1595,16.15
41,2019,A00,14_8,1590,16.20
41,2019,A00,14_8,1583,16.25
41,2019,A00,14_8,1578,16.30
41,2019,A00,14_8,1573,16.35
41,2019,A00,14_8,1568,16.40
41,2019,A00,14_8,1563,16.45
41,2019,A00,14_8,1560,16.50
41,2019,A00,14_8,1553,16.55
41,2019,A00,14_8,1545,16.60
41,2019,A00,14_8,1539,16.65
41,2019,A00,14_8,1533,16.70
41,2019,A00,14_8,1527,16.75
41,2019,A00,14_8,1522,16.80
41,2019,A00,14_8,1517,16.85
41,2019,A00,14_8,1515,16.90
41,2019,A00,14_8,1510,16.95
41,2019,A00,14_8,1503,17.00
41,2019,A00,14_8,1500,17.05
41,2019,A00,14_8,1494,17.10
41,2019,A00,14_8,1489,17.15
41,2019,A00,14_8,1479,17.20
41,2019,A00,14_8,1473,17.25
41,2019,A00,14_8,1460,17.30
41,2019,A00,14_8,1444,17.35
41,2019,A00,14_8,1439,17.40
41,2019,A00,14_8,1426,17.45
41,2019,A00,14_8,1421,17.50
41,2019,A00,14_8,1410,17.55
41,2019,A00,14_8,1401,17.60
41,2019,A00,14_8,1392,17.65
41,2019,A00,14_8,1383,17.70
41,2019,A00,14_8,1372,17.75
41,2019,A00,14_8,1360,17.80
41,2019,A00,14_8,1351,17.85
41,2019,A00,14_8,1342,17.90
41,2019,A00,14_8,1334,17.95
41,2019,A00,14_8,1328,18.00
41,2019,A00,14_8,1317,18.05
41,2019,A00,14_8,1309,18.10
41,2019,A00,14_8,1300,18.15
41,2019,A00,14_8,1289,18.20
41,2019,A00,14_8,1278,18.25
41,2019,A00,14_8,1270,18.30
41,2019,A00,14_8,1260,18.35
41,2019,A00,14_8,1251,18.40
41,2019,A00,14_8,1239,18.45
41,2019,A00,14_8,1226,18.50
41,2019,A00,14_8,1220,18.55
41,2019,A00,14_8,1208,18.60
41,2019,A00,14_8,1198,18.65
41,2019,A00,14_8,1192,18.70
41,2019,A00,14_8,1183,18.75
41,2019,A00,14_8,1174,18.80
41,2019,A00,14_8,1166,18.85
41,2019,A00,14_8,1153,18.90
41,2019,A00,14_8,1138,18.95
41,2019,A00,14_8,1126,19.00
41,2019,A00,14_8,1116,19.05
41,2019,A00,14_8,1105,19.10
41,2019,A00,14_8,1100,19.15
41,2019,A00,14_8,1085,19.20
41,2019,A00,14_8,1072,19.25
41,2019,A00,14_8,1062,19.30
41,2019,A00,14_8,1047,19.35
41,2019,A00,14_8,1039,19.40
41,2019,A00,14_8,1028,19.45
41,2019,A00,14_8,1018,19.50
41,2019,A00,14_8,1004,19.55
41,2019,A00,14_8,993,19.60
41,2019,A00,14_8,981,19.65
