MA_TINH,NĂM_THI,KHOI_THI,GRID_ID,SO_THI_SINH,MOC_DIEM
53,2019,A00,8_4,2706,15.00
53,2019,A00,8_4,2704,15.05
53,2019,A00,8_4,2696,15.10
53,2019,A00,8_4,2691,15.15
53,2019,A00,8_4,2689,15.20
53,2019,A00,8_4,2683,15.25
53,2019,A00,8_4,2674,15.30
53,2019,A00,8_4,2666,15.35
53,2019,A00,8_4,2657,15.40
53,2019,A00,8_4,2652,15.45
53,2019,A00,8_4,2645,15.50
53,2019,A00,8_4,2641,15.55
53,2019,A00,8_4,2634,15.60
53,2019,A00,8_4,2629,15.65
53,2019,A00,8_4,2622,15.70
53,2019,A00,8_4,2614,15.75
53,2019,A00,8_4,2607,15.80
53,2019,A00,8_4,2594,15.85
53,2019,A00,8_4,2583,15.90
53,2019,A00,8_4,2578,15.95
53,2019,A00,8_4,2569,16.00
53,2019,A00,8_4,2560,16.05
53,2019,A00,8_4,2555,16.10
53,2019,A00,8_4,2548,16.15
53,2019,A00,8_4,2537,16.20
53,2019,A00,8_4,2529,16.25
53,2019,A00,8_4,2520,16.30
53,2019,A00,8_4,2513,16.35
53,2019,A00,8_4,2504,16.40
53,2019,A00,8_4,2496,16.45
53,2019,A00,8_4,2487,16.50
53,2019,A00,8_4,2476,16.55
53,2019,A00,8_4,2471,16.60
53,2019,A00,8_4,2463,16.65
53,2019,A00,8_4,2455,16.70
53,2019,A00,8_4,2441,16.75
53,2019,A00,8_4,2431,16.80
53,2019,A00,8_4,2420,16.85
53,2019,A00,8_4,2406,16.90
53,2019,A00,8_4,2393,16.95
53,2019,A00,8_4,2386,17.00
53,2019,A00,8_4,2374,17.05
53,2019,A00,8_4,2358,17.10
53,2019,A00,8_4,2344,17.15
53,2019,A00,8_4,2326,17.20
53,2019,A00,8_4,2309,17.25
53,2019,A00,8_4,2291,17.30
53,2019,A00,8_4,2279,17.35
53,2019,A00,8_4,2264,17.40
53,2019,A00,8_4,2250,17.45
53,2019,A00,8_4,2235,17.50
53,2019,A00,8_4,2222,17.55
53,2019,A00,8_4,2209,17.60
53,2019,A00,8_4,2190,17.65
53,2019,A00,8_4,2171,17.70
53,2019,A00,8_4,2157,17.75
53,2019,A00,8_4,2146,17.80
53,2019,A00,8_4,2130,17.85
53,2019,A00,8_4,2112,17.90
53,2019,A00,8_4,2101,17.95
53,2019,A00,8_4,2083,18.00
53,2019,A00,8_4,2066,18.05
53,2019,A00,8_4,2045,18.10
53,2019,A00,8_4,2020,18.15
53,2019,A00,8_4,2000,18.20
53,2019,A00,8_4,1989,18.25
