MA_TINH,NĂM_THI,KHOI_THI,GRID_ID,SO_THI_SINH,MOC_DIEM
62,2019,A00,2_26,201,15.00
62,2019,A00,2_26,201,15.05
62,2019,A00,2_26,201,15.10
62,2019,A00,2_26,201,15.15
62,2019,A00,2_26,201,15.20
62,2019,A00,2_26,201,15.25
62,2019,A00,2_26,200,15.30
62,2019,A00,2_26,200,15.35
62,2019,A00,2_26,200,15.40
62,2019,A00,2_26,200,15.45
62,2019,A00,2_26,199,15.50
62,2019,A00,2_26,198,15.55
62,2019,A00,2_26,198,15.60
62,2019,A00,2_26,198,15.65
62,2019,A00,2_26,198,15.70
62,2019,A00,2_26,198,15.75
62,2019,A00,2_26,198,15.80
62,2019,A00,2_26,198,15.85
62,2019,A00,2_26,198,15.90
62,2019,A00,2_26,198,15.95
62,2019,A00,2_26,197,16.00
62,2019,A00,2_26,197,16.05
62,2019,A00,2_26,197,16.10
62,2019,A00,2_26,196,16.15
62,2019,A00,2_26,195,16.20
62,2019,A00,2_26,195,16.25
62,2019,A00,2_26,195,16.30
62,2019,A00,2_26,195,16.35
62,2019,A00,2_26,194,16.40
62,2019,A00,2_26,192,16.45
62,2019,A00,2_26,191,16.50
62,2019,A00,2_26,191,16.55
62,2019,A00,2_26,191,16.60
62,2019,A00,2_26,189,16.65
62,2019,A00,2_26,188,16.70
62,2019,A00,2_26,188,16.75
62,2019,A00,2_26,187,16.80
62,2019,A00,2_26,187,16.85
62,2019,A00,2_26,187,16.90
62,2019,A00,2_26,187,16.95
62,2019,A00,2_26,187,17.00
62,2019,A00,2_26,185,17.05
62,2019,A00,2_26,184,17.10
62,2019,A00,2_26,184,17.15
62,2019,A00,2_26,183,17.20
62,2019,A00,2_26,183,17.25
62,2019,A00,2_26,182,17.30
62,2019,A00,2_26,181,17.35
62,2019,A00,2_26,181,17.40
62,2019,A00,2_26,179,17.45
62,2019,A00,2_26,179,17.50
62,2019,A00,2_26,179,17.55
62,2019,A00,2_26,179,17.60
62,2019,A00,2_26,179,17.65
62,2019,A00,2_26,179,17.70
62,2019,A00,2_26,177,17.75
62,2019,A00,2_26,176,17.80
62,2019,A00,2_26,174,17.85
62,2019,A00,2_26,174,17.90
62,2019,A00,2_26,174,17.95
62,2019,A00,2_26,173,18.00
62,2019,A00,2_26,172,18.05
62,2019,A00,2_26,170,18.10
62,2019,A00,2_26,168,18.15
62,2019,A00,2_26,167,18.20
62,2019,A00,2_26,165,18.25
62,2019,A00,2_26,165,18.30
62,2019,A00,2_26,160,18.35
62,2019,A00,2_26,160,18.40
62,2019,A00,2_26,160,18.45
62,2019,A00,2_26,160,18.50
62,2019,A00,2_26,160,18.55
62,2019,A00,2_26,158,18.60
62,2019,A00,2_26,157,18.65
62,2019,A00,2_26,156,18.70
62,2019,A00,2_26,156,18.75
62,2019,A00,2_26,156,18.80
62,2019,A00,2_26,153,18.85
62,2019,A00,2_26,152,18.90
62,2019,A00,2_26,150,18.95
62,2019,A00,2_26,150,19.00
62,2019,A00,2_26,149,19.05
62,2019,A00,2_26,146,19.10
62,2019,A00,2_26,144,19.15
62,2019,A00,2_26,142,19.20
62,2019,A00,2_26,140,19.25
62,2019,A00,2_26,139,19.30
62,2019,A00,2_26,137,19.35
62,2019,A00,2_26,137,19.40
62,2019,A00,2_26,134,19.45
62,2019,A00,2_26,134,19.50
62,2019,A00,2_26,132,19.55
62,2019,A00,2_26,131,19.60
62,2019,A00,2_26,128,19.65
62,2019,A00,2_26,126,19.70
62,2019,A00,2_26,125,19.75
62,2019,A00,2_26,124,19.80
62,2019,A00,2_26,122,19.85
62,2019,A00,2_26,121,19.90
62,2019,A00,2_26,121,19.95
62,2019,A00,2_26,117,20.00
62,2019,A00,2_26,115,20.05
62,2019,A00,2_26,114,20.10
62,2019,A00,2_26,110,20.15
62,2019,A00,2_26,110,20.20
62,2019,A00,2_26,109,20.25
62,2019,A00,2_26,109,20.30
62,2019,A00,2_26,108,20.35
62,2019,A00,2_26,108,20.40
62,2019,A00,2_26,105,20.45
62,2019,A00,2_26,100,20.50
62,2019,A00,2_26,99,20.55
62,2019,A00,2_26,99,20.60
62,2019,A00,2_26,98,20.65
62,2019,A00,2_26,97,20.70
62,2019,A00,2_26,95,20.75
62,2019,A00,2_26,94,20.80
62,2019,A00,2_26,93,20.85
62,2019,A00,2_26,91,20.90
