Mã trường,Mã ngành,Tên ngành,Tổ hợp môn năm 2019,Tổ hợp môn năm 2020,Tổ hợp môn năm 2021,Tổ hợp môn năm 2022,Tổ hợp môn năm 2023,Tổ hợp môn năm 2024,Tổ hợp môn năm 2025,Điểm chuẩn năm 2019,Điểm chuẩn năm 2020,Điểm chuẩn năm 2021,Điểm chuẩn năm 2022,Điểm chuẩn năm 2023,Điểm chuẩn năm 2024,Điểm chuẩn năm 2025
BMU,7720101,Y khoa,A02;B00;D08,A02;B00;B08;D34,A02;B00;D08,A02;B00;B08,A00;B00;A02;B08,A00;A02;B00;B08,B00;B05;B08;A00;A01;A02;D07,21.0,23.0,24.0,23.0,22.75,24.0,22.0
BMU,7720201,Dược học,A00;B00;D07,A00;B00;D07;D24,A00;B00;D07,A00;B00;D07,A00;B00;D07,B00;A00;D07,B00;B05;B08;A00;A01;A02;D07,20.0,21.0,21.0,21.0,21.0,21.0,19.0
BVH,7320104,Truyền thông đa phương tiện,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01;X06;X26,22.7,25.6,26.55,26.2,26.33,25.94,25.25
BVH,7329001,Công nghệ đa phương tiện,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01;X06;X26,22.55,25.75,26.35,26.45,25.89,25.75,24.0
BVH,7340101,Quản trị kinh doanh,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;X06;X26;D01,21.65,24.6,25.9,25.55,25.15,25.17,22.75
BVH,7340115,Marketing,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01;X06;X26,22.35,25.5,26.45,26.1,25.8,25.85,24.0
BVH,7340122,Thương mại điện tử,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01;X06;X26,22.45,25.7,26.5,26.35,26.2,26.09,25.1
BVH,7340301,Kế toán,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01;X06;X26,21.35,24.35,25.75,25.35,25.05,25.29,22.5
BVH,7480201,Công nghệ thông tin,A00;A01,A00;A01,A00;A01,A00;A01,A00;A01,A00;A01,A00;A01;X06;X26,24.1,26.65,26.9,27.25,26.59,26.4,25.8
BVH,7480202,An toàn thông tin,A00;A01,A00;A01,A00;A01,A00;A01,A00;A01,A00;A01,A00;A01;X06;X26,23.35,26.25,26.55,26.7,26.04,25.85,25.21
BVH,7510301,"Công nghệ kỹ thuật điện, điện tử",A00;A01,A00;A01,A00;A01,A00;A01,A00;A01,A00;A01,A00;A01;X06;X26,21.05,24.75,25.35,25.1,25.01,25.46,24.61
BVH,7520207,Kỹ thuật điện tử - viễn thông,A00;A01,A00;A01,A00;A01,A00;A01,A00;A01,A00;A01,A00;A01;X06;X26,21.95,25.25,25.65,25.6,25.68,25.75,25.1
BVS,7329001,Công nghệ đa phương tiện,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01;X06;X26,21.0,23.8,25.05,24.25,24.05,23.95,21.35
BVS,7340101,Quản trị kinh doanh,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01;X06;X26,19.7,23.5,25.0,21.7,22.8,18.4,17.2
BVS,7340115,Marketing,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01;X06;X26,21.2,24.6,25.65,24.85,24.1,24.24,21.25
BVS,7340301,Kế toán,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01,A00;A01;D01;X06;X26,18.0,21.7,23.95,22.9,20.0,20.95,16.25
BVS,7480201,Công nghệ thông tin,A00;A01,A00;A01,A00;A01,A00;A01,A00;A01,A00;A01,A00;A01;X06;X26,22.0,25.1,25.9,25.85,25.1,25.17,23.47
BVS,7480202,An toàn thông tin,A00;A01,A00;A01,A00;A01,A00;A01,A00;A01,A00;A01,A00;A01;X06;X26,20.0,24.2,25.4,25.05,24.44,24.68,23.09
BVS,7510301,"Công nghệ kỹ thuật điện, điện tử",A00;A01,A00;A01,A00;A01,A00;A01,A00;A01,A00;A01,A00;A01;X06;X26,17.0,20.25,19.3,19.0,18.15,20.85,20.0
BVS,7520207,Kỹ thuật điện tử - viễn thông,A00;A01,A00;A01,A00;A01,A00;A01,A00;A01,A00;A01,A00;A01;X06;X26,17.0,20.0,22.7,21.0,21.9,23.23,21.0
BVU,7220201,Ngôn ngữ Anh,A01;D01;D14;D15,A01;D01;D14;D15,A01;D01;D14;D15,A01;D01;D15;D66,A01;D01;D15;D66,A01;D01;D15;D66,A01;D01;D14;D15,14.0,15.0,15.0,15.0,15.0,15.0,15.0
BVU,7340101,Quản trị kinh doanh,A00;C00;C01;D01,A00;C00;C01;D01,A00;C00;C20;D01,A00;C00;C20;D01,A00;C00;C20;D01,A00;A01;C00;D01,A00;A01;C00;D01,14.0,15.0,15.0,15.0,15.0,15.0,15.0
BVU,7340301,Kế toán,A00;A04;C01;D01,A00;A04;C01;D01,A00;A09;C04;D01,A00;A01;C14;D01,A00;A01;C14;D01,A00;A01;C00;D01,A00;A01;C00;D01,14.0,15.0,15.0,15.0,15.0,15.0,15.0
BVU,7380101,Luật,A00;A01;C00;D01,A00;A01;C00;D01,A00;A01;C00;D01,A00;C20;C00;D01,A00;C00;C20;D01,A01;C00;C20;D01,A01;C00;D01;X01,14.0,15.0,15.0,15.0,15.0,15.0,15.0
BVU,7480201,Công nghệ thông tin,A00;A01;A04;D01,A00;A01;A04,A00;A01;A02;D01,A00;A01;C01;D01,A00;A01;C01;D01,A00;A01;C00;D01,A00;A01;D01;X26,14.0,15.0,15.0,15.0,15.0,15.0,15.0
BVU,7510301,"Công nghệ kỹ thuật điện, điện tử",A00;A01;A04;D01,A00;A01;A04;D01,A00;A01;A02;D01,A00;A01;C01;D01,A00;A01;C01;D01,A00;A01;C00;D01,A00;A01;D01;X26,14.0,15.0,15.0,15.0,15.0,15.0,15.0
BVU,7510605,Logistics và Quản lý chuỗi cung ứng,A00;C00;C01;D01,A00;C00;C01;D01,A00;C00;C04;D01,A00;C00;C20;D01,A00;C00;C20;D01,A00;A01;C00;D01,A00;A01;C00;D01,14.0,15.0,15.0,15.0,15.0,15.0,15.0
CCM,7210404,Thiết kế thời trang,D01;H00;V00;V01,H00;V00;V01;D01,D01;V00;V01;H00,D01;V00;V01;H00,D01;V00;V01;H00,D01;V00;V01;H00,D01;V01;V05;H00;H06;H08;H09,14.0,15.0,18.0,19.0,20.0,18.0,18.0
CCM,7340115,Marketing,A00;A01;D01;D07,A00;A01;B00;D01,A00;A01;D01;B00,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01;C01;C03;C04;C14;X03;X04;X23;X24,14.0,15.0,16.5,17.0,18.0,15.0,17.0
CCM,7510201,Công nghệ kỹ thuật cơ khí,A00;A01;D01;D07,A00;A01;B00;D01,A00;A01;D01;B00,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01;C01;C03;C04;C14;X03;X04;X23;X24,14.0,15.0,16.5,17.0,18.0,15.0,16.0
CCM,7510301,"Công nghệ kỹ thuật điện, điện tử",A00;A01;D01;D07,A00;A01;B00;D01,A00;A01;D01;B00,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01;C01;C03;C04;C14;X03;X04;X23;X24,14.0,15.0,16.5,17.0,18.0,15.0,17.0
CCM,7510601,Quản lý công nghiệp,A00;A01;D01;D07,A00;A01;B00;D01,A00;A01;D01;B00,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01;C01;C03;C04;C14;X03;X04;X23;X24,14.0,15.0,16.5,17.0,18.0,15.0,17.0
CCM,7540202,"Công nghệ sợi, dệt",A00;A01;D01;D07,A00;A01;B00;D01,A00;A01;D01;B00,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01;C01;C03;C04;C14;X03;X04;X23;X24,14.0,15.0,16.5,17.0,18.0,15.0,16.0
CCM,7540209,Công nghệ may,A00;A01;D01;D07,A00;A01;B00;D01,A00;A01;D01;B00,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01;C01;C03;C04;C14;X03;X04;X23;X24,16.0,16.0,17.5,18.0,19.0,15.0,17.0
CEA,7310101,Kinh tế,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;A01;B00;D01,A00;D01;A01;C03,13.5,14.7,14.0,15.0,18.0,17.0,16.5
