MA_TINH,NĂM_THI,KHOI_THI,GRID_ID,SO_THI_SINH,MOC_DIEM
29,2019,A00,7_21,3367,15.00
29,2019,A00,7_21,3365,15.05
29,2019,A00,7_21,3363,15.10
29,2019,A00,7_21,3360,15.15
29,2019,A00,7_21,3360,15.20
29,2019,A00,7_21,3357,15.25
29,2019,A00,7_21,3352,15.30
29,2019,A00,7_21,3349,15.35
29,2019,A00,7_21,3347,15.40
29,2019,A00,7_21,3345,15.45
29,2019,A00,7_21,3342,15.50
29,2019,A00,7_21,3337,15.55
29,2019,A00,7_21,3331,15.60
29,2019,A00,7_21,3329,15.65
29,2019,A00,7_21,3328,15.70
29,2019,A00,7_21,3325,15.75
29,2019,A00,7_21,3316,15.80
29,2019,A00,7_21,3313,15.85
29,2019,A00,7_21,3311,15.90
29,2019,A00,7_21,3304,15.95
29,2019,A00,7_21,3302,16.00
29,2019,A00,7_21,3298,16.05
29,2019,A00,7_21,3293,16.10
29,2019,A00,7_21,3290,16.15
29,2019,A00,7_21,3285,16.20
29,2019,A00,7_21,3280,16.25
29,2019,A00,7_21,3275,16.30
29,2019,A00,7_21,3271,16.35
29,2019,A00,7_21,3265,16.40
29,2019,A00,7_21,3260,16.45
29,2019,A00,7_21,3250,16.50
29,2019,A00,7_21,3246,16.55
29,2019,A00,7_21,3240,16.60
29,2019,A00,7_21,3236,16.65
29,2019,A00,7_21,3228,16.70
29,2019,A00,7_21,3224,16.75
29,2019,A00,7_21,3213,16.80
29,2019,A00,7_21,3211,16.85
29,2019,A00,7_21,3204,16.90
29,2019,A00,7_21,3193,16.95
29,2019,A00,7_21,3189,17.00
29,2019,A00,7_21,3184,17.05
29,2019,A00,7_21,3180,17.10
29,2019,A00,7_21,3177,17.15
29,2019,A00,7_21,3170,17.20
29,2019,A00,7_21,3162,17.25
29,2019,A00,7_21,3151,17.30
29,2019,A00,7_21,3139,17.35
29,2019,A00,7_21,3131,17.40
29,2019,A00,7_21,3123,17.45
29,2019,A00,7_21,3114,17.50
29,2019,A00,7_21,3102,17.55
29,2019,A00,7_21,3091,17.60
29,2019,A00,7_21,3083,17.65
29,2019,A00,7_21,3067,17.70
29,2019,A00,7_21,3059,17.75
29,2019,A00,7_21,3050,17.80
29,2019,A00,7_21,3037,17.85
29,2019,A00,7_21,3023,17.90
29,2019,A00,7_21,3013,17.95
29,2019,A00,7_21,3005,18.00
29,2019,A00,7_21,2993,18.05
29,2019,A00,7_21,2980,18.10
29,2019,A00,7_21,2966,18.15
29,2019,A00,7_21,2950,18.20
29,2019,A00,7_21,2930,18.25
29,2019,A00,7_21,2919,18.30
29,2019,A00,7_21,2912,18.35
29,2019,A00,7_21,2896,18.40
29,2019,A00,7_21,2885,18.45
29,2019,A00,7_21,2872,18.50
29,2019,A00,7_21,2861,18.55
29,2019,A00,7_21,2854,18.60
29,2019,A00,7_21,2837,18.65
29,2019,A00,7_21,2824,18.70
29,2019,A00,7_21,2805,18.75
29,2019,A00,7_21,2789,18.80
29,2019,A00,7_21,2772,18.85
29,2019,A00,7_21,2752,18.90
29,2019,A00,7_21,2741,18.95
29,2019,A00,7_21,2724,19.00
29,2019,A00,7_21,2700,19.05
29,2019,A00,7_21,2684,19.10
29,2019,A00,7_21,2669,19.15
29,2019,A00,7_21,2651,19.20
29,2019,A00,7_21,2627,19.25
29,2019,A00,7_21,2601,19.30
29,2019,A00,7_21,2578,19.35
29,2019,A00,7_21,2556,19.40
29,2019,A00,7_21,2538,19.45
29,2019,A00,7_21,2524,19.50
29,2019,A00,7_21,2507,19.55
29,2019,A00,7_21,2488,19.60
29,2019,A00,7_21,2475,19.65
29,2019,A00,7_21,2454,19.70
29,2019,A00,7_21,2431,19.75
29,2019,A00,7_21,2408,19.80
29,2019,A00,7_21,2388,19.85
29,2019,A00,7_21,2378,19.90
29,2019,A00,7_21,2360,19.95
29,2019,A00,7_21,2342,20.00
29,2019,A00,7_21,2326,20.05
29,2019,A00,7_21,2306,20.10
29,2019,A00,7_21,2288,20.15
29,2019,A00,7_21,2264,20.20
29,2019,A00,7_21,2241,20.25
29,2019,A00,7_21,2221,20.30
29,2019,A00,7_21,2203,20.35
29,2019,A00,7_21,2184,20.40
29,2019,A00,7_21,2158,20.45
29,2019,A00,7_21,2135,20.50
29,2019,A00,7_21,2113,20.55
29,2019,A00,7_21,2089,20.60
29,2019,A00,7_21,2069,20.65
29,2019,A00,7_21,2044,20.70
29,2019,A00,7_21,2029,20.75
29,2019,A00,7_21,2003,20.80
29,2019,A00,7_21,1980,20.85
29,2019,A00,7_21,1957,20.90
29,2019,A00,7_21,1941,20.95
29,2019,A00,7_21,1914,21.00
29,2019,A00,7_21,1889,21.05
29,2019,A00,7_21,1869,21.10
29,2019,A00,7_21,1838,21.15
29,2019,A00,7_21,1821,21.20
29,2019,A00,7_21,1798,21.25
29,2019,A00,7_21,1783,21.30
29,2019,A00,7_21,1763,21.35
29,2019,A00,7_21,1740,21.40
29,2019,A00,7_21,1713,21.45
29,2019,A00,7_21,1682,21.50
29,2019,A00,7_21,1659,21.55
29,2019,A00,7_21,1628,21.60
29,2019,A00,7_21,1604,21.65
29,2019,A00,7_21,1577,21.70
29,2019,A00,7_21,1552,21.75
29,2019,A00,7_21,1537,21.80
29,2019,A00,7_21,1509,21.85
29,2019,A00,7_21,1482,21.90
29,2019,A00,7_21,1455,21.95
29,2019,A00,7_21,1425,22.00
29,2019,A00,7_21,1398,22.05
29,2019,A00,7_21,1379,22.10
29,2019,A00,7_21,1352,22.15
29,2019,A00,7_21,1335,22.20
29,2019,A00,7_21,1306,22.25
29,2019,A00,7_21,1290,22.30
29,2019,A00,7_21,1261,22.35
29,2019,A00,7_21,1244,22.40
29,2019,A00,7_21,1215,22.45
29,2019,A00,7_21,1192,22.50
29,2019,A00,7_21,1177,22.55
29,2019,A00,7_21,1143,22.60
29,2019,A00,7_21,1121,22.65
29,2019,A00,7_21,1097,22.70
29,2019,A00,7_21,1074,22.75
29,2019,A00,7_21,1054,22.80
29,2019,A00,7_21,1031,22.85
29,2019,A00,7_21,1005,22.90
29,2019,A00,7_21,979,22.95
29,2019,A00,7_21,954,23.00
29,2019,A00,7_21,932,23.05
29,2019,A00,7_21,907,23.10
29,2019,A00,7_21,881,23.15
29,2019,A00,7_21,859,23.20
29,2019,A00,7_21,828,23.25
29,2019,A00,7_21,801,23.30
29,2019,A00,7_21,775,23.35
29,2019,A00,7_21,757,23.40
29,2019,A00,7_21,736,23.45
29,2019,A00,7_21,715,23.50
29,2019,A00,7_21,689,23.55
29,2019,A00,7_21,673,23.60
29,2019,A00,7_21,654,23.65
29,2019,A00,7_21,634,23.70
29,2019,A00,7_21,621,23.75
29,2019,A00,7_21,604,23.80
29,2019,A00,7_21,589,23.85
29,2019,A00,7_21,578,23.90
29,2019,A00,7_21,556,23.95
29,2019,A00,7_21,543,24.00
29,2019,A00,7_21,524,24.05
29,2019,A00,7_21,515,24.10
29,2019,A00,7_21,496,24.15
29,2019,A00,7_21,482,24.20
29,2019,A00,7_21,473,24.25
29,2019,A00,7_21,452,24.30
29,2019,A00,7_21,442,24.35
29,2019,A00,7_21,428,24.40
29,2019,A00,7_21,414,24.45
29,2019,A00,7_21,402,24.50
