MA_TINH,NĂM_THI,KHOI_THI,GRID_ID,SO_THI_SINH,MOC_DIEM
34,2019,A00,12_15,2130,15.00
34,2019,A00,12_15,2130,15.05
34,2019,A00,12_15,2127,15.10
34,2019,A00,12_15,2126,15.15
34,2019,A00,12_15,2124,15.20
34,2019,A00,12_15,2122,15.25
34,2019,A00,12_15,2120,15.30
34,2019,A00,12_15,2116,15.35
34,2019,A00,12_15,2112,15.40
34,2019,A00,12_15,2110,15.45
34,2019,A00,12_15,2107,15.50
34,2019,A00,12_15,2104,15.55
34,2019,A00,12_15,2104,15.60
34,2019,A00,12_15,2100,15.65
34,2019,A00,12_15,2098,15.70
34,2019,A00,12_15,2092,15.75
34,2019,A00,12_15,2085,15.80
34,2019,A00,12_15,2081,15.85
34,2019,A00,12_15,2079,15.90
34,2019,A00,12_15,2074,15.95
34,2019,A00,12_15,2072,16.00
34,2019,A00,12_15,2068,16.05
34,2019,A00,12_15,2066,16.10
34,2019,A00,12_15,2063,16.15
34,2019,A00,12_15,2060,16.20
34,2019,A00,12_15,2056,16.25
34,2019,A00,12_15,2053,16.30
34,2019,A00,12_15,2049,16.35
34,2019,A00,12_15,2046,16.40
34,2019,A00,12_15,2038,16.45
34,2019,A00,12_15,2036,16.50
34,2019,A00,12_15,2034,16.55
34,2019,A00,12_15,2030,16.60
34,2019,A00,12_15,2025,16.65
34,2019,A00,12_15,2021,16.70
34,2019,A00,12_15,2010,16.75
34,2019,A00,12_15,2004,16.80
34,2019,A00,12_15,1998,16.85
34,2019,A00,12_15,1995,16.90
34,2019,A00,12_15,1986,16.95
34,2019,A00,12_15,1980,17.00
34,2019,A00,12_15,1974,17.05
34,2019,A00,12_15,1962,17.10
34,2019,A00,12_15,1960,17.15
34,2019,A00,12_15,1959,17.20
34,2019,A00,12_15,1951,17.25
34,2019,A00,12_15,1943,17.30
34,2019,A00,12_15,1935,17.35
34,2019,A00,12_15,1917,17.40
34,2019,A00,12_15,1907,17.45
34,2019,A00,12_15,1900,17.50
34,2019,A00,12_15,1892,17.55
34,2019,A00,12_15,1883,17.60
34,2019,A00,12_15,1873,17.65
34,2019,A00,12_15,1862,17.70
34,2019,A00,12_15,1852,17.75
34,2019,A00,12_15,1840,17.80
34,2019,A00,12_15,1827,17.85
34,2019,A00,12_15,1816,17.90
34,2019,A00,12_15,1810,17.95
34,2019,A00,12_15,1798,18.00
