MA_TINH,NĂM_THI,KHOI_THI,GRID_ID,SO_THI_SINH,MOC_DIEM
26,2019,A00,8_24,3587,15.00
26,2019,A00,8_24,3585,15.05
26,2019,A00,8_24,3583,15.10
26,2019,A00,8_24,3582,15.15
26,2019,A00,8_24,3580,15.20
26,2019,A00,8_24,3580,15.25
26,2019,A00,8_24,3577,15.30
26,2019,A00,8_24,3576,15.35
26,2019,A00,8_24,3575,15.40
26,2019,A00,8_24,3574,15.45
26,2019,A00,8_24,3570,15.50
26,2019,A00,8_24,3569,15.55
26,2019,A00,8_24,3565,15.60
26,2019,A00,8_24,3561,15.65
26,2019,A00,8_24,3559,15.70
26,2019,A00,8_24,3556,15.75
26,2019,A00,8_24,3554,15.80
26,2019,A00,8_24,3554,15.85
26,2019,A00,8_24,3550,15.90
26,2019,A00,8_24,3547,15.95
26,2019,A00,8_24,3541,16.00
26,2019,A00,8_24,3536,16.05
26,2019,A00,8_24,3532,16.10
26,2019,A00,8_24,3528,16.15
26,2019,A00,8_24,3526,16.20
26,2019,A00,8_24,3524,16.25
26,2019,A00,8_24,3517,16.30
26,2019,A00,8_24,3514,16.35
26,2019,A00,8_24,3509,16.40
26,2019,A00,8_24,3506,16.45
26,2019,A00,8_24,3499,16.50
26,2019,A00,8_24,3497,16.55
26,2019,A00,8_24,3495,16.60
26,2019,A00,8_24,3483,16.65
26,2019,A00,8_24,3479,16.70
26,2019,A00,8_24,3474,16.75
26,2019,A00,8_24,3469,16.80
26,2019,A00,8_24,3459,16.85
26,2019,A00,8_24,3447,16.90
26,2019,A00,8_24,3439,16.95
26,2019,A00,8_24,3429,17.00
26,2019,A00,8_24,3421,17.05
26,2019,A00,8_24,3415,17.10
26,2019,A00,8_24,3407,17.15
26,2019,A00,8_24,3399,17.20
26,2019,A00,8_24,3392,17.25
26,2019,A00,8_24,3387,17.30
26,2019,A00,8_24,3383,17.35
26,2019,A00,8_24,3377,17.40
26,2019,A00,8_24,3372,17.45
26,2019,A00,8_24,3366,17.50
26,2019,A00,8_24,3363,17.55
26,2019,A00,8_24,3353,17.60
26,2019,A00,8_24,3342,17.65
26,2019,A00,8_24,3331,17.70
26,2019,A00,8_24,3325,17.75
26,2019,A00,8_24,3310,17.80
26,2019,A00,8_24,3296,17.85
26,2019,A00,8_24,3290,17.90
26,2019,A00,8_24,3280,17.95
26,2019,A00,8_24,3270,18.00
26,2019,A00,8_24,3260,18.05
26,2019,A00,8_24,3250,18.10
26,2019,A00,8_24,3237,18.15
26,2019,A00,8_24,3224,18.20
26,2019,A00,8_24,3206,18.25
26,2019,A00,8_24,3191,18.30
26,2019,A00,8_24,3175,18.35
26,2019,A00,8_24,3166,18.40
26,2019,A00,8_24,3151,18.45
26,2019,A00,8_24,3137,18.50
26,2019,A00,8_24,3114,18.55
26,2019,A00,8_24,3102,18.60
26,2019,A00,8_24,3088,18.65
26,2019,A00,8_24,3072,18.70
26,2019,A00,8_24,3054,18.75
26,2019,A00,8_24,3042,18.80
26,2019,A00,8_24,3030,18.85
26,2019,A00,8_24,3016,18.90
26,2019,A00,8_24,3001,18.95
26,2019,A00,8_24,2982,19.00
26,2019,A00,8_24,2961,19.05
26,2019,A00,8_24,2940,19.10
26,2019,A00,8_24,2921,19.15
26,2019,A00,8_24,2901,19.20
26,2019,A00,8_24,2880,19.25
26,2019,A00,8_24,2870,19.30
26,2019,A00,8_24,2853,19.35
26,2019,A00,8_24,2832,19.40
26,2019,A00,8_24,2814,19.45
26,2019,A00,8_24,2791,19.50
26,2019,A00,8_24,2772,19.55
26,2019,A00,8_24,2754,19.60
26,2019,A00,8_24,2731,19.65
26,2019,A00,8_24,2713,19.70
26,2019,A00,8_24,2688,19.75
26,2019,A00,8_24,2659,19.80
26,2019,A00,8_24,2627,19.85
26,2019,A00,8_24,2608,19.90
26,2019,A00,8_24,2587,19.95
26,2019,A00,8_24,2565,20.00
26,2019,A00,8_24,2535,20.05
26,2019,A00,8_24,2505,20.10
26,2019,A00,8_24,2467,20.15
26,2019,A00,8_24,2445,20.20
26,2019,A00,8_24,2418,20.25
26,2019,A00,8_24,2392,20.30
26,2019,A00,8_24,2369,20.35
26,2019,A00,8_24,2339,20.40
26,2019,A00,8_24,2309,20.45
26,2019,A00,8_24,2283,20.50
26,2019,A00,8_24,2251,20.55
26,2019,A00,8_24,2229,20.60
26,2019,A00,8_24,2199,20.65
26,2019,A00,8_24,2172,20.70
26,2019,A00,8_24,2146,20.75
26,2019,A00,8_24,2118,20.80
26,2019,A00,8_24,2087,20.85
26,2019,A00,8_24,2059,20.90
26,2019,A00,8_24,2032,20.95
26,2019,A00,8_24,2006,21.00
26,2019,A00,8_24,1988,21.05
26,2019,A00,8_24,1955,21.10
26,2019,A00,8_24,1929,21.15
26,2019,A00,8_24,1898,21.20
26,2019,A00,8_24,1869,21.25
26,2019,A00,8_24,1847,21.30
26,2019,A00,8_24,1816,21.35
26,2019,A00,8_24,1787,21.40
26,2019,A00,8_24,1761,21.45
26,2019,A00,8_24,1734,21.50
26,2019,A00,8_24,1703,21.55
26,2019,A00,8_24,1667,21.60
26,2019,A00,8_24,1640,21.65
26,2019,A00,8_24,1610,21.70
26,2019,A00,8_24,1570,21.75
26,2019,A00,8_24,1546,21.80
26,2019,A00,8_24,1520,21.85
26,2019,A00,8_24,1491,21.90
26,2019,A00,8_24,1464,21.95
26,2019,A00,8_24,1439,22.00
26,2019,A00,8_24,1407,22.05
26,2019,A00,8_24,1373,22.10
26,2019,A00,8_24,1343,22.15
26,2019,A00,8_24,1306,22.20
26,2019,A00,8_24,1274,22.25
26,2019,A00,8_24,1256,22.30
26,2019,A00,8_24,1231,22.35
26,2019,A00,8_24,1211,22.40
26,2019,A00,8_24,1180,22.45
26,2019,A00,8_24,1148,22.50
26,2019,A00,8_24,1117,22.55
26,2019,A00,8_24,1086,22.60
26,2019,A00,8_24,1065,22.65
26,2019,A00,8_24,1034,22.70
26,2019,A00,8_24,1007,22.75
26,2019,A00,8_24,983,22.80
26,2019,A00,8_24,961,22.85
26,2019,A00,8_24,933,22.90
26,2019,A00,8_24,908,22.95
26,2019,A00,8_24,893,23.00
26,2019,A00,8_24,868,23.05
26,2019,A00,8_24,846,23.10
26,2019,A00,8_24,823,23.15
26,2019,A00,8_24,796,23.20
26,2019,A00,8_24,771,23.25
