MA_TINH,NĂM_THI,KHOI_THI,GRID_ID,SO_THI_SINH,MOC_DIEM
14,2019,A00,3_26,265,15.00
14,2019,A00,3_26,265,15.05
14,2019,A00,3_26,264,15.10
14,2019,A00,3_26,263,15.15
14,2019,A00,3_26,262,15.20
14,2019,A00,3_26,261,15.25
14,2019,A00,3_26,260,15.30
14,2019,A00,3_26,258,15.35
14,2019,A00,3_26,257,15.40
14,2019,A00,3_26,257,15.45
14,2019,A00,3_26,257,15.50
14,2019,A00,3_26,256,15.55
14,2019,A00,3_26,255,15.60
14,2019,A00,3_26,254,15.65
14,2019,A00,3_26,252,15.70
14,2019,A00,3_26,252,15.75
14,2019,A00,3_26,249,15.80
14,2019,A00,3_26,249,15.85
14,2019,A00,3_26,248,15.90
14,2019,A00,3_26,246,15.95
14,2019,A00,3_26,246,16.00
14,2019,A00,3_26,245,16.05
14,2019,A00,3_26,245,16.10
14,2019,A00,3_26,245,16.15
14,2019,A00,3_26,245,16.20
14,2019,A00,3_26,244,16.25
14,2019,A00,3_26,242,16.30
14,2019,A00,3_26,242,16.35
14,2019,A00,3_26,242,16.40
14,2019,A00,3_26,241,16.45
14,2019,A00,3_26,241,16.50
14,2019,A00,3_26,241,16.55
14,2019,A00,3_26,240,16.60
14,2019,A00,3_26,237,16.65
14,2019,A00,3_26,237,16.70
14,2019,A00,3_26,236,16.75
14,2019,A00,3_26,234,16.80
14,2019,A00,3_26,233,16.85
14,2019,A00,3_26,233,16.90
14,2019,A00,3_26,232,16.95
14,2019,A00,3_26,232,17.00
14,2019,A00,3_26,231,17.05
14,2019,A00,3_26,228,17.10
14,2019,A00,3_26,226,17.15
14,2019,A00,3_26,225,17.20
14,2019,A00,3_26,225,17.25
14,2019,A00,3_26,224,17.30
14,2019,A00,3_26,222,17.35
14,2019,A00,3_26,220,17.40
14,2019,A00,3_26,217,17.45
14,2019,A00,3_26,217,17.50
14,2019,A00,3_26,215,17.55
14,2019,A00,3_26,215,17.60
14,2019,A00,3_26,213,17.65
14,2019,A00,3_26,210,17.70
14,2019,A00,3_26,210,17.75
14,2019,A00,3_26,206,17.80
14,2019,A00,3_26,206,17.85
14,2019,A00,3_26,203,17.90
14,2019,A00,3_26,202,17.95
14,2019,A00,3_26,199,18.00
14,2019,A00,3_26,194,18.05
14,2019,A00,3_26,191,18.10
14,2019,A00,3_26,189,18.15
14,2019,A00,3_26,186,18.20
14,2019,A00,3_26,186,18.25
14,2019,A00,3_26,185,18.30
14,2019,A00,3_26,183,18.35
14,2019,A00,3_26,179,18.40
14,2019,A00,3_26,175,18.45
14,2019,A00,3_26,175,18.50
14,2019,A00,3_26,173,18.55
