Mã trường,Mã ngành,Tên ngành,Tổ hợp môn năm 2019,Tổ hợp môn năm 2020,Tổ hợp môn năm 2021,Tổ hợp môn năm 2022,Tổ hợp môn năm 2023,Tổ hợp môn năm 2024,Điểm chuẩn năm 2019,Điểm chuẩn năm 2020,Điểm chuẩn năm 2021,Điểm chuẩn năm 2022,Điểm chuẩn năm 2023,Điểm chuẩn năm 2024
VHH,7320402_D14,Kinh doanh xuất bản phẩm,,,,,,D14,,,,,,24.8
VHH,7320402_D15,Kinh doanh xuất bản phẩm,,,,,,D15,,,,,,24.8
VHH,7320402_D78,Kinh doanh xuất bản phẩm,,D78,D78,D78,D78,,,15.0,19.0,23.25,22.0,
VHH,7320402_D96,Kinh doanh xuất bản phẩm,D96,D96,D96,D96,D96,,15.0,15.0,19.0,23.25,22.0,
VHH,7380101_A00,Luật,,,A00,A00,A00,,,,25.6,26.5,24.17,
VHH,7380101_A16,Luật,,,A16,A16,A16,,,,25.6,26.5,24.17,
VHH,7380101_C00,Luật,C00,C00,C00,C00,C00,C00,23.5,26.25,26.6,27.5,25.17,28.8
VHH,7380101_C19,Luật,,,,,,C19,,,,,,27.8
VHH,7380101_D01,Luật,D01,D01,D01,D01,D01,D01,22.5,25.25,25.6,26.5,24.17,27.8
VHH,7380101_D09,Luật,,,,,,D09,,,,,,27.8
VHH,7380101_D14,Luật,,,,,,D14,,,,,,27.8
VHH,7380101_D15,Luật,,,,,,D15,,,,,,27.8
VHH,7380101_D78,Luật,,D78,D78,D78,D78,,,25.25,25.6,26.5,24.17,
VHH,7380101_D96,Luật,D96,D96,D96,D96,D96,,22.5,25.25,25.6,26.5,24.17,
VHH,7810101A_A00,Du lịch - Văn hóa du lịch,,,A00,A00,A00,,,,25.2,25.0,24.41,
VHH,7810101A_A16,Du lịch - Văn hóa du lịch,,,A16,A16,A16,,,,25.2,25.0,24.41,
VHH,7810101A_C00,Du lịch - Văn hóa du lịch,C00,C00,C00,C00,C00,C00,24.3,25.5,26.2,26.0,25.41,27.15
VHH,7810101A_C19,Du lịch - Văn hóa du lịch,,,,,,C19,,,,,,26.15
VHH,7810101A_D01,Du lịch - Văn hóa du lịch,D01,D01,D01,D01,D01,D01,21.3,24.5,25.2,25.0,24.41,26.15
VHH,7810101A_D09,Du lịch - Văn hóa du lịch,,,,,,D09,,,,,,26.15
VHH,7810101A_D14,Du lịch - Văn hóa du lịch,,,,,,D14,,,,,,26.15
VHH,7810101A_D15,Du lịch - Văn hóa du lịch,,,,,,D15,,,,,,26.15
VHH,7810101A_D78,Du lịch - Văn hóa du lịch,D78,D78,D78,D78,D78,,21.3,24.5,25.2,25.0,24.41,
VHH,7810101A_D96,Du lịch - Văn hóa du lịch,,D96,D96,D96,D96,,,24.5,25.2,25.0,24.41,
VHH,7810101B_A00,"Du lịch - Lữ hành, hướng dẫn du lịch",,,A00,A00,A00,,,,25.7,26.0,24.8,
VHH,7810101B_A16,"Du lịch - Lữ hành, hướng dẫn du lịch",,,A16,A16,A16,,,,25.7,26.0,24.8,
VHH,7810101B_C00,"Du lịch - Lữ hành, hướng dẫn du lịch",C00,C00,C00,C00,C00,C00,24.85,26.5,26.7,27.0,25.8,27.67
VHH,7810101B_C19,"Du lịch - Lữ hành, hướng dẫn du lịch",,,,,,C19,,,,,,26.67
VHH,7810101B_D01,"Du lịch - Lữ hành, hướng dẫn du lịch",D01,D01,D01,D01,D01,D01,21.85,25.5,25.7,26.0,24.8,26.67
VHH,7810101B_D09,"Du lịch - Lữ hành, hướng dẫn du lịch",,,,,,D09,,,,,,26.67
VHH,7810101B_D14,"Du lịch - Lữ hành, hướng dẫn du lịch",,,,,,D14,,,,,,26.67
VHH,7810101B_D15,"Du lịch - Lữ hành, hướng dẫn du lịch",,,,,,D15,,,,,,26.67
VHH,7810101B_D78,"Du lịch - Lữ hành, hướng dẫn du lịch",D78,D78,D78,D78,D78,,21.85,25.5,25.7,26.0,24.8,
VHH,7810101B_D96,"Du lịch - Lữ hành, hướng dẫn du lịch",,D96,D96,D96,D96,,,25.5,25.7,26.0,24.8,
VHH,7810101C,Du lịch - Hướng dẫn du lịch quốc tế,D01;D78;D96,D01;D78;D96,A00;A16;D01;D78;D96,D01;D78;D96;A16;A00,D01;D78;D96;A16;A00,D01;D09;D14;D15;C19,21.25,30.25,32.4,31.85,31.4,33.33
VHS,7220112,Ngành Văn hóa các dân tộc thiểu số Việt Nam,C00;D01;D09;D15,C00;D01;D09;D15,C00;D01;D09;D15,C00;D01;D09;D15,C00;D01;D09;D15,C00;D01;D09;D15,15.0,15.0,15.0,15.0,15.0,22.0
VHS,7229040A,Văn hóa học - Nghiên cứu văn hóa,C00;D01;D09;D15,C00;D01;D09;D15,C00;D01;D09;D15,C00;D01;D09;D15,C00;D01;D09;D15,C00;D01;D09;D15,17.0,16.5,16.0,21.5,21.5,25.5
VHS,7229040B,Văn hoá học - Văn hóa truyền thông,C00;D01;D09;D15,C00;D01;D09;D15,C00;D01;D09;D15,C00;D01;D09;D15,C00;D01;D09;D15,C00;D01;D09;D15,17.0,15.0,16.0,22.5,22.0,26.3
VHS,7229040C,Văn hóa học - Văn hóa đối ngoại,C00;D01;D09;D15,C00;D01;D09;D15,C00;D01;D09;D15,C00;D01;D09;D15,C00;D01;D09;D15,C00;D01;D09;D15,19.5,20.0,23.0,25.5,24.25,27.85
VHS,7229042A,Quản lý văn hoá - Chính sách văn hóa và quản lý nghệ thuật,C00;D01;D09;D15,C00;D01;D09;D15,C00;D01;D09;D15,C00;D01;D09;D15,C00;D01;D09;D15,C00;D01;D09;D15,18.5,15.0,21.0,19.5,22.0,25.85
VHS,7229042C,Quản lý văn hóa,R01;R02;R03;R04,R01;R02;R03;R04,R01;R02;R03;R04,R01;R02;R03;R04,C00;D01;D09;D15,C00;D01;D09;D15,15.0,15.0,18.0,17.0,17.0,22.5
VHS,7320201,Thông tin - Thư viện,C00;D01;D09;D15,C00;D01;D09;D15,C00;D01;D09;D15,C00;D01;D09;D15,C00;D01;D09;D15,C00;D01;D09;D15,15.0,15.0,15.0,15.0,16.0,24.0
VHS,7810103A,"Ngành Quản trị dịch vụ du lịch và lữ hành, chuyên ngành Quản trị lữ hành",C00;D01;D10;D15,C00;D01;D10;D15,C00;D01;D10;D15,C00;D01;D10;D15,C00;D01;D10;D15,C00;D01;D10;D15,22.0,25.0,25.0,26.25,24.0,27.0
VHS,7810103B,"Ngành Quản trị dịch vụ du lịch và lữ hành, chuyên ngành Hướng dẫn du lịch",C00;D01;D10;D15,C00;D01;D10;D15,C00;D01;D10;D15,C00;D01;D10;D15,C00;D01;D10;D15,C00;D01;D10;D15,21.25,24.0,24.0,26.0,23.5,26.5
VKU,7340101,Quản trị kinh doanh,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,18.75,18.0,22.5,24.0,23.0,23.28
VKU,7480108,Công nghệ kỹ thuật máy tính,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,17.0,18.0,20.0,23.0,23.0,22.5
VKU,7480201,Công nghệ thông tin,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,A00;A01;D01;D90,19.75,18.0,23.0,25.0,25.01,23.0
VLU,7480201,Công nghệ thông tin,A00;A01;C04;D01,A00;A01;D01;C04,A00;A01;D01;C04,A00;A01;D01;C04,A00;A01;D01;C04,A00;A01;D01;C04,15.0,15.0,15.0,16.0,15.0,15.0
VLU,7510201,Công nghệ kỹ thuật cơ khí,A00;A01;C04;D01,A00;A01;D01;C04,A00;A01;D01;C04,A00;A01;D01;C04,A00;A01;D01;C04,A00;A01;D01;C04,15.0,15.0,15.0,15.0,15.0,15.0
VLU,7510203,Công nghệ kỹ thuật cơ điện tử,A00;A01;C04;D01,A00;A01;D01;C04,A00;A01;D01;C04,A00;A01;D01;C04,A00;A01;D01;C04,A00;A01;D01;C04,15.0,15.0,15.0,15.0,15.0,15.0
VLU,7510205,Công nghệ kỹ thuật ô tô,A00;A01;C04;D01,A00;A01;D01;C04,A00;A01;D01;C04,A00;A01;D01;C04,A00;A01;D01;C04,A00;A01;D01;C04,16.25,18.0,15.5,16.5,15.0,15.0
VLU,7510206,Công nghệ kỹ thuật nhiệt,A00;A01;C04;D01,A00;A01;D01;C04,A00;A01;D01;C04,A00;A01;D01;C04,A00;A01;D01;C04,A00;A01;D01;C04,15.0,15.0,15.0,15.0,15.0,15.0
VLU,7510301,"Công nghệ kỹ thuật điện, điện tử",A00;A01;C04;D01,A00;A01;D01;C04,A00;A01;D01;C04,A00;A01;D01;C04,A00;A01;D01;C04,A00;A01;D01;C04,15.0,15.0,15.0,15.0,15.0,15.0
VLU,7510303,Công nghệ kỹ thuật điều khiển và tự động hóa,A00;A01;C04;D01,A00;A01;D01;C04,A00;A01;D01;C04,A00;A01;D01;C04,A00;A01;D01;C04,A00;A01;D01;C04,15.0,15.0,15.0,15.0,15.0,15.0
XDT,7340301,Kế toán,A00;A01;C01;D01,A00;A01;C01;D01,A00;A01;C01;D01,A00;A01;C01;D01,A00;A01;C01;D01,A00;A01;C01;D01,13.0,15.0,15.0,15.0,15.0,15.0
XDT,7580201,Kỹ thuật xây dựng,A00;A01;C01;D01,A00;A01;C01;D01,A00;A01;C01;D01,A00;A01;C01;D01,A00;A01;C01;D01,A00;A01;C01;D01,13.0,15.0,15.0,15.0,15.0,15.0
XDT,7580205,Kỹ thuật xây dựng công trình giao thông,A00;A01;C01;D01,A00;A01;C01;D01,A00;A01;C01;D01,A00;A01;C01;D01,A00;A01;C01;D01,A00;A01;C01;D01,13.0,15.0,15.0,15.0,15.0,15.0
XDT,7580213,Kỹ thuật cấp thoát nước,A00;A01;C01;D01,A00;A01;C01;D01,A00;A01;C01;D01,A00;A01;C01;D01,A00;A01;C01;D01,A00;A01;C01;D01,13.0,15.0,15.0,15.0,15.0,15.0
XDT,7580301,Kinh tế xây dựng,A00;A01;C01;D01,A00;A01;C01;D01,A00;A01;C01;D01,A00;A01;C01;D01,A00;A01;C01;D01,A00;A01;C01;D01,13.0,15.0,15.0,15.0,15.0,15.0
XDT,7580302,Quản lý xây dựng,A00;A01;C01;D01,A00;A01;C01;D01,A00;A01;C01;D01,A00;A01;C01;D01,A00;A01;C01;D01,A00;A01;C01;D01,13.0,15.0,15.0,15.0,15.0,15.0
YCT,7720101,Y khoa,B00,B00,B00,B00,B00,B00,24.3,26.95,26.0,25.6,25.52,25.7
YCT,7720110,Y học dự phòng,B00,B00,B00,B00,B00,B00,20.25,23.4,23.95,21.05,22.35,22.7
YCT,7720115,Y học cổ truyền,B00,B00,B00,B00,B00,B00,22.25,25.2,25.65,23.3,23.9,24.48
YCT,7720201,Dược học,B00,B00,B00,B00,B00,B00,23.55,26.1,26.0,24.6,24.7,24.78
YCT,7720301,Điều dưỡng,B00,B00,B00,B00,B00,B00,21.25,24.3,24.9,21.75,23.2,23.45
YCT,7720501,Răng - Hàm - Mặt,B00,B00,B00,B00,B00,B00,24.15,26.75,25.75,25.45,25.4,25.65
YCT,7720601,Kỹ thuật xét nghiệm y học,B00,B00,B00,B00,B00,B00,22.5,25.2,25.5,23.75,24.05,24.38
YCT,7720701,Y tế công cộng,B00,B00,B00,B00,B00,B00,18.0,19.0,20.0,20.0,20.0,19.2
YDD,7720301,Điều dưỡng,B00;D07;D08,B00;B08;D01;D07,B00;B08;D01;D07,B00;B08;D01;D07,B00;B08;D01;D07,B00;B08;D01;D07,18.0,19.0,20.0,19.5,19.0,19.0
YDD,7720302,Hộ sinh,B00;D07;D08,B00;B08;D01;D07,B00;B08;D01;D07,B00;B08;D01;D07,B00;B08;D01;D07,B00;B08;D01;D07,18.0,19.0,19.0,19.0,19.0,19.0
YDN,7720101,Y khoa,B00,B00,B00,B00,B00;B08;A00;D07,B00;B08;A00;D07,24.4,26.8,26.6,25.55,25.0,25.47
YDN,7720201,Dược học,B00,B00,B00,B00,B00;B08;A00;D07,B00;B08;A00;D07,22.6,25.6,25.0,23.7,23.75,23.6
YDN,7720601,Kỹ thuật xét nghiệm y học,B00,B00,B00,B00,B00;B08;A00;D07,B00;B08;A00;D07,21.0,24.3,24.3,19.2,19.0,20.6
YDN,7720602,Kỹ thuật hình ảnh y học,B00,B00,B00,B00,B00;B08;A00;D07,B00;B08;A00;D07,19.0,22.2,22.5,19.0,19.0,19.0
YDN,7720603,Kỹ thuật phục hồi chức năng,B00,B00,B00,B00,B00;B08;A00;D07,B00;B08;A00;D07,19.8,23.0,22.0,19.05,19.0,21.0
YDS,7720101,Y khoa,B00,B00,B00,B00,B00,B00,26.7,28.45,28.2,27.55,27.34,27.8
YDS,7720110,Y học dự phòng,B00,B00,B00,B00,A00;B00,B00;A00,20.5,21.95,23.9,21.0,22.65,23.25
YDS,7720115,Y học cổ truyền,B00,B00,B00,B00,B00,B00,22.4,25.0,25.2,24.2,24.54,24.8
YDS,7720201,Dược học,B00,,,B00;A00,A00;B00,B00;A00,23.85,,,25.5,25.5,25.72
YDS,7720201_A00,Dược học,,A00,A00,,,,,26.2,26.25,,,
YDS,7720201_B00,Dược học,,B00,B00,,,,,26.2,26.25,,,
YDS,7720301,Điều dưỡng,B00,B00,B00,B00,A00;B00,B00;A00,21.5,23.65,24.1,20.3,23.15,24.03
YDS,7720301_03,Điều dưỡng chuyên ngành Gây mê hồi sức,B00,B00,B00,B00,A00;B00,B00;A00,21.25,23.5,24.15,23.25,23.88,24.5
YDS,7720401,Dinh dưỡng,B00,B00,B00,B00,A00;B00,B00;A00,21.7,23.4,24.0,20.35,23.4,24.1
YDS,7720501,Răng - Hàm - Mặt,B00,B00,B00,B00,B00,B00,26.1,28.0,27.65,27.0,26.96,27.35
YDS,7720502,Kỹ thuật phục hình răng,B00,B00,B00,B00,A00;B00,B00;A00,22.55,24.85,25.0,24.3,24.54,24.8
YDS,7720601,Kỹ thuật xét nghiệm y học,B00,B00,B00,B00,A00;B00,B00;A00,23.0,25.35,25.45,24.5,24.59,25.02
