MA_TINH,NĂM_THI,KHOI_THI,GRID_ID,SO_THI_SINH,MOC_DIEM
58,2019,A00,8_3,506,15.00
58,2019,A00,8_3,506,15.05
58,2019,A00,8_3,505,15.10
58,2019,A00,8_3,504,15.15
58,2019,A00,8_3,503,15.20
58,2019,A00,8_3,503,15.25
58,2019,A00,8_3,501,15.30
58,2019,A00,8_3,500,15.35
58,2019,A00,8_3,500,15.40
58,2019,A00,8_3,500,15.45
58,2019,A00,8_3,500,15.50
58,2019,A00,8_3,499,15.55
58,2019,A00,8_3,499,15.60
58,2019,A00,8_3,499,15.65
58,2019,A00,8_3,498,15.70
58,2019,A00,8_3,495,15.75
58,2019,A00,8_3,494,15.80
58,2019,A00,8_3,492,15.85
58,2019,A00,8_3,491,15.90
58,2019,A00,8_3,490,15.95
58,2019,A00,8_3,489,16.00
58,2019,A00,8_3,487,16.05
58,2019,A00,8_3,484,16.10
58,2019,A00,8_3,481,16.15
58,2019,A00,8_3,480,16.20
58,2019,A00,8_3,476,16.25
58,2019,A00,8_3,475,16.30
58,2019,A00,8_3,473,16.35
58,2019,A00,8_3,473,16.40
58,2019,A00,8_3,469,16.45
58,2019,A00,8_3,467,16.50
58,2019,A00,8_3,464,16.55
58,2019,A00,8_3,462,16.60
58,2019,A00,8_3,459,16.65
58,2019,A00,8_3,457,16.70
58,2019,A00,8_3,451,16.75
58,2019,A00,8_3,451,16.80
58,2019,A00,8_3,450,16.85
58,2019,A00,8_3,449,16.90
58,2019,A00,8_3,445,16.95
58,2019,A00,8_3,443,17.00
58,2019,A00,8_3,438,17.05
58,2019,A00,8_3,436,17.10
58,2019,A00,8_3,432,17.15
58,2019,A00,8_3,430,17.20
58,2019,A00,8_3,427,17.25
58,2019,A00,8_3,425,17.30
58,2019,A00,8_3,425,17.35
58,2019,A00,8_3,421,17.40
58,2019,A00,8_3,420,17.45
58,2019,A00,8_3,416,17.50
58,2019,A00,8_3,411,17.55
58,2019,A00,8_3,411,17.60
58,2019,A00,8_3,407,17.65
58,2019,A00,8_3,405,17.70
58,2019,A00,8_3,401,17.75
58,2019,A00,8_3,399,17.80
58,2019,A00,8_3,398,17.85
58,2019,A00,8_3,392,17.90
58,2019,A00,8_3,387,17.95
58,2019,A00,8_3,380,18.00
58,2019,A00,8_3,377,18.05
58,2019,A00,8_3,374,18.10
58,2019,A00,8_3,368,18.15
58,2019,A00,8_3,365,18.20
58,2019,A00,8_3,361,18.25
58,2019,A00,8_3,359,18.30
58,2019,A00,8_3,354,18.35
58,2019,A00,8_3,351,18.40
58,2019,A00,8_3,348,18.45
58,2019,A00,8_3,344,18.50
58,2019,A00,8_3,340,18.55
58,2019,A00,8_3,336,18.60
58,2019,A00,8_3,333,18.65
58,2019,A00,8_3,329,18.70
58,2019,A00,8_3,326,18.75
58,2019,A00,8_3,323,18.80
58,2019,A00,8_3,320,18.85
58,2019,A00,8_3,319,18.90
58,2019,A00,8_3,315,18.95
58,2019,A00,8_3,310,19.00
58,2019,A00,8_3,302,19.05
58,2019,A00,8_3,299,19.10
58,2019,A00,8_3,293,19.15
58,2019,A00,8_3,290,19.20
58,2019,A00,8_3,281,19.25
58,2019,A00,8_3,279,19.30
58,2019,A00,8_3,274,19.35
58,2019,A00,8_3,273,19.40
58,2019,A00,8_3,269,19.45
58,2019,A00,8_3,262,19.50
58,2019,A00,8_3,258,19.55
58,2019,A00,8_3,250,19.60
58,2019,A00,8_3,246,19.65
