MA_TINH,NĂM_THI,KHOI_THI,GRID_ID,SO_THI_SINH,MOC_DIEM
39,2019,A00,14_10,1385,15.00
39,2019,A00,14_10,1384,15.05
39,2019,A00,14_10,1379,15.10
39,2019,A00,14_10,1378,15.15
39,2019,A00,14_10,1375,15.20
39,2019,A00,14_10,1374,15.25
39,2019,A00,14_10,1374,15.30
39,2019,A00,14_10,1370,15.35
39,2019,A00,14_10,1365,15.40
39,2019,A00,14_10,1363,15.45
39,2019,A00,14_10,1362,15.50
39,2019,A00,14_10,1360,15.55
39,2019,A00,14_10,1359,15.60
39,2019,A00,14_10,1358,15.65
39,2019,A00,14_10,1357,15.70
39,2019,A00,14_10,1356,15.75
39,2019,A00,14_10,1352,15.80
39,2019,A00,14_10,1350,15.85
39,2019,A00,14_10,1347,15.90
39,2019,A00,14_10,1345,15.95
39,2019,A00,14_10,1340,16.00
39,2019,A00,14_10,1336,16.05
39,2019,A00,14_10,1332,16.10
39,2019,A00,14_10,1330,16.15
39,2019,A00,14_10,1328,16.20
39,2019,A00,14_10,1324,16.25
39,2019,A00,14_10,1319,16.30
39,2019,A00,14_10,1314,16.35
39,2019,A00,14_10,1311,16.40
39,2019,A00,14_10,1305,16.45
39,2019,A00,14_10,1299,16.50
39,2019,A00,14_10,1295,16.55
39,2019,A00,14_10,1289,16.60
39,2019,A00,14_10,1283,16.65
39,2019,A00,14_10,1275,16.70
39,2019,A00,14_10,1267,16.75
39,2019,A00,14_10,1267,16.80
39,2019,A00,14_10,1261,16.85
39,2019,A00,14_10,1255,16.90
39,2019,A00,14_10,1252,16.95
39,2019,A00,14_10,1246,17.00
39,2019,A00,14_10,1244,17.05
39,2019,A00,14_10,1236,17.10
39,2019,A00,14_10,1227,17.15
39,2019,A00,14_10,1221,17.20
39,2019,A00,14_10,1215,17.25
39,2019,A00,14_10,1212,17.30
39,2019,A00,14_10,1209,17.35
39,2019,A00,14_10,1202,17.40
39,2019,A00,14_10,1197,17.45
39,2019,A00,14_10,1193,17.50
39,2019,A00,14_10,1186,17.55
39,2019,A00,14_10,1182,17.60
39,2019,A00,14_10,1178,17.65
39,2019,A00,14_10,1171,17.70
39,2019,A00,14_10,1159,17.75
39,2019,A00,14_10,1150,17.80
39,2019,A00,14_10,1144,17.85
39,2019,A00,14_10,1140,17.90
39,2019,A00,14_10,1133,17.95
39,2019,A00,14_10,1128,18.00
39,2019,A00,14_10,1116,18.05
39,2019,A00,14_10,1110,18.10
39,2019,A00,14_10,1099,18.15
39,2019,A00,14_10,1091,18.20
39,2019,A00,14_10,1084,18.25
39,2019,A00,14_10,1076,18.30
39,2019,A00,14_10,1066,18.35
39,2019,A00,14_10,1060,18.40
39,2019,A00,14_10,1052,18.45
39,2019,A00,14_10,1039,18.50
39,2019,A00,14_10,1031,18.55
39,2019,A00,14_10,1018,18.60
39,2019,A00,14_10,1004,18.65
39,2019,A00,14_10,995,18.70
39,2019,A00,14_10,990,18.75
39,2019,A00,14_10,983,18.80
39,2019,A00,14_10,971,18.85
39,2019,A00,14_10,966,18.90
39,2019,A00,14_10,956,18.95
39,2019,A00,14_10,950,19.00
39,2019,A00,14_10,940,19.05
39,2019,A00,14_10,930,19.10
39,2019,A00,14_10,919,19.15
39,2019,A00,14_10,912,19.20
39,2019,A00,14_10,901,19.25
39,2019,A00,14_10,890,19.30
39,2019,A00,14_10,883,19.35
39,2019,A00,14_10,873,19.40
39,2019,A00,14_10,866,19.45
39,2019,A00,14_10,857,19.50
39,2019,A00,14_10,849,19.55
39,2019,A00,14_10,833,19.60
39,2019,A00,14_10,822,19.65
39,2019,A00,14_10,809,19.70
39,2019,A00,14_10,797,19.75
39,2019,A00,14_10,783,19.80
39,2019,A00,14_10,774,19.85
39,2019,A00,14_10,762,19.90
39,2019,A00,14_10,747,19.95
39,2019,A00,14_10,732,20.00
39,2019,A00,14_10,719,20.05
39,2019,A00,14_10,702,20.10
39,2019,A00,14_10,689,20.15
39,2019,A00,14_10,673,20.20
39,2019,A00,14_10,658,20.25
39,2019,A00,14_10,647,20.30
39,2019,A00,14_10,642,20.35
39,2019,A00,14_10,631,20.40
39,2019,A00,14_10,625,20.45
39,2019,A00,14_10,613,20.50
39,2019,A00,14_10,601,20.55
39,2019,A00,14_10,587,20.60
39,2019,A00,14_10,581,20.65
39,2019,A00,14_10,569,20.70
39,2019,A00,14_10,560,20.75
39,2019,A00,14_10,547,20.80
39,2019,A00,14_10,542,20.85
39,2019,A00,14_10,526,20.90
39,2019,A00,14_10,520,20.95
39,2019,A00,14_10,508,21.00
39,2019,A00,14_10,495,21.05
39,2019,A00,14_10,478,21.10
39,2019,A00,14_10,467,21.15
39,2019,A00,14_10,458,21.20
39,2019,A00,14_10,447,21.25
39,2019,A00,14_10,436,21.30
39,2019,A00,14_10,423,21.35
39,2019,A00,14_10,412,21.40
39,2019,A00,14_10,404,21.45
39,2019,A00,14_10,398,21.50
39,2019,A00,14_10,388,21.55
39,2019,A00,14_10,379,21.60
39,2019,A00,14_10,372,21.65
39,2019,A00,14_10,360,21.70
39,2019,A00,14_10,347,21.75
39,2019,A00,14_10,339,21.80
39,2019,A00,14_10,333,21.85
39,2019,A00,14_10,324,21.90
39,2019,A00,14_10,316,21.95
39,2019,A00,14_10,313,22.00
39,2019,A00,14_10,298,22.05
39,2019,A00,14_10,291,22.10
39,2019,A00,14_10,281,22.15
39,2019,A00,14_10,276,22.20
39,2019,A00,14_10,267,22.25
39,2019,A00,14_10,263,22.30
39,2019,A00,14_10,254,22.35
39,2019,A00,14_10,246,22.40
39,2019,A00,14_10,240,22.45
39,2019,A00,14_10,231,22.50
39,2019,A00,14_10,222,22.55
39,2019,A00,14_10,216,22.60
39,2019,A00,14_10,209,22.65
39,2019,A00,14_10,201,22.70
39,2019,A00,14_10,197,22.75
39,2019,A00,14_10,196,22.80
39,2019,A00,14_10,189,22.85
39,2019,A00,14_10,180,22.90
39,2019,A00,14_10,169,22.95
39,2019,A00,14_10,166,23.00
39,2019,A00,14_10,164,23.05
39,2019,A00,14_10,157,23.10
39,2019,A00,14_10,150,23.15
39,2019,A00,14_10,145,23.20
39,2019,A00,14_10,142,23.25
39,2019,A00,14_10,135,23.30
39,2019,A00,14_10,130,23.35
39,2019,A00,14_10,123,23.40
39,2019,A00,14_10,116,23.45
39,2019,A00,14_10,110,23.50
39,2019,A00,14_10,106,23.55
39,2019,A00,14_10,102,23.60
39,2019,A00,14_10,101,23.65
39,2019,A00,14_10,101,23.70
39,2019,A00,14_10,98,23.75
39,2019,A00,14_10,95,23.80
39,2019,A00,14_10,93,23.85
39,2019,A00,14_10,89,23.90
39,2019,A00,14_10,85,23.95
39,2019,A00,14_10,85,24.00
39,2019,A00,14_10,81,24.05
39,2019,A00,14_10,77,24.10
39,2019,A00,14_10,76,24.15
39,2019,A00,14_10,76,24.20
39,2019,A00,14_10,75,24.25
39,2019,A00,14_10,70,24.30
39,2019,A00,14_10,69,24.35
39,2019,A00,14_10,67,24.40
39,2019,A00,14_10,60,24.45
39,2019,A00,14_10,56,24.50
39,2019,A00,14_10,56,24.55
39,2019,A00,14_10,54,24.60
39,2019,A00,14_10,53,24.65
39,2019,A00,14_10,50,24.70
39,2019,A00,14_10,43,24.75
39,2019,A00,14_10,43,24.80
39,2019,A00,14_10,41,24.85
39,2019,A00,14_10,40,24.90
39,2019,A00,14_10,38,24.95
39,2019,A00,14_10,36,25.00
39,2019,A00,14_10,34,25.05
39,2019,A00,14_10,30,25.10
39,2019,A00,14_10,30,25.15
