Mã trường,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Năm xét tuyển,Ghi chú
ANS,7860100,Nghiệp vụ An ninh,C03,25.21,2021,Điểm trúng tuyển nam; Địa bàn 4
ANS,7860100,Nghiệp vụ An ninh,D01,25.89,2021,Điểm trúng tuyển nam; Địa bàn 4
ANS,7860100,Nghiệp vụ An ninh,A01,22.36,2022,Điểm trúng tuyển nữ; Địa bàn 6
ANS,7860100,Nghiệp vụ An ninh,A00,15.98,2022,Điểm trúng tuyển nam; Địa bàn 8
ANS,7860100,Nghiệp vụ An ninh,C03,20.59,2022,Điểm trúng tuyển nam; Địa bàn 4
ANS,7860100,Nghiệp vụ An ninh,D01,18.29,2022,Điểm trúng tuyển nam; Địa bàn 4
ANS,7860100,Nghiệp vụ An ninh,A00;A01;C03;D01,18.62,2023,"Nam, Vùng 6"
ANS,7860100_Nam_4,"Nghiệp vụ An ninh (Thí sinh Nam, vùng 4)",A00;A01;C03;D01,20.13,2024,"Bài thi CA2, nam, vùng 4"
ANS,7860100_Nam_5,"Nghiệp vụ An ninh (Thí sinh Nam, vùng 5)",A00;A01;C03;D01,20.57,2024,"Bài thi CA1, nam, vùng 5"
ANS,7860100_Nam_6,"Nghiệp vụ An ninh (Thí sinh Nam, vùng 6)",A00;A01;C03;D01,19.07,2024,"Bài thi CA1, nam, vùng 6"
ANS,7860100_Nam_7,"Nghiệp vụ An ninh (Thí sinh Nam, vùng 7)",A00;A01;C03;D01,21.23,2024,"Bài thi CA2, nam, vùng 7"
ANS,7860100_Nam_8,"Nghiệp vụ An ninh (Thí sinh Nam, vùng 8)",A00;A01;C03;D01,21.32,2024,"Bài thi CA2, nam, vùng 8"
ANS,7860100_Nu_4,"Nghiệp vụ An ninh (Thí sinh Nữ, vùng 4)",A00;A01;C03;D01,21.76,2024,"Bài thi CA2, nữ, vùng 4"
ANS,7860100_Nu_5,"Nghiệp vụ An ninh (Thí sinh Nữ, vùng 5)",A00;A01;C03;D01,25.03,2024,"Bài thi CA2, nữ, vùng 5"
ANS,7860100_Nu_6,"Nghiệp vụ An ninh (Thí sinh Nữ, vùng 6)",A00;A01;C03;D01,22.07,2024,"Bài thi CA2, nữ, vùng 6"
ANS,7860100_Nu_7,"Nghiệp vụ An ninh (Thí sinh Nữ, vùng 7)",A00;A01;C03;D01,23.02,2024,"Bài thi CA2, nữ, vùng 7"
