MA_TINH,NĂM_THI,KHOI_THI,GRID_ID,SO_THI_SINH,MOC_DIEM
37,2019,A00,14_11,2359,15.00
37,2019,A00,14_11,2358,15.05
37,2019,A00,14_11,2356,15.10
37,2019,A00,14_11,2353,15.15
37,2019,A00,14_11,2352,15.20
37,2019,A00,14_11,2349,15.25
37,2019,A00,14_11,2344,15.30
37,2019,A00,14_11,2343,15.35
37,2019,A00,14_11,2339,15.40
37,2019,A00,14_11,2337,15.45
37,2019,A00,14_11,2333,15.50
37,2019,A00,14_11,2327,15.55
37,2019,A00,14_11,2322,15.60
37,2019,A00,14_11,2320,15.65
37,2019,A00,14_11,2319,15.70
37,2019,A00,14_11,2316,15.75
37,2019,A00,14_11,2314,15.80
37,2019,A00,14_11,2314,15.85
37,2019,A00,14_11,2310,15.90
37,2019,A00,14_11,2309,15.95
37,2019,A00,14_11,2305,16.00
37,2019,A00,14_11,2302,16.05
37,2019,A00,14_11,2294,16.10
37,2019,A00,14_11,2289,16.15
37,2019,A00,14_11,2286,16.20
37,2019,A00,14_11,2281,16.25
37,2019,A00,14_11,2273,16.30
37,2019,A00,14_11,2268,16.35
37,2019,A00,14_11,2263,16.40
37,2019,A00,14_11,2260,16.45
37,2019,A00,14_11,2255,16.50
37,2019,A00,14_11,2252,16.55
37,2019,A00,14_11,2245,16.60
37,2019,A00,14_11,2241,16.65
37,2019,A00,14_11,2239,16.70
37,2019,A00,14_11,2235,16.75
37,2019,A00,14_11,2229,16.80
37,2019,A00,14_11,2223,16.85
37,2019,A00,14_11,2218,16.90
37,2019,A00,14_11,2207,16.95
37,2019,A00,14_11,2203,17.00
37,2019,A00,14_11,2195,17.05
37,2019,A00,14_11,2189,17.10
37,2019,A00,14_11,2185,17.15
37,2019,A00,14_11,2175,17.20
37,2019,A00,14_11,2166,17.25
37,2019,A00,14_11,2160,17.30
37,2019,A00,14_11,2152,17.35
37,2019,A00,14_11,2148,17.40
37,2019,A00,14_11,2136,17.45
37,2019,A00,14_11,2127,17.50
37,2019,A00,14_11,2121,17.55
37,2019,A00,14_11,2113,17.60
37,2019,A00,14_11,2104,17.65
37,2019,A00,14_11,2088,17.70
37,2019,A00,14_11,2071,17.75
37,2019,A00,14_11,2058,17.80
37,2019,A00,14_11,2048,17.85
37,2019,A00,14_11,2037,17.90
37,2019,A00,14_11,2029,17.95
37,2019,A00,14_11,2017,18.00
37,2019,A00,14_11,2007,18.05
37,2019,A00,14_11,1993,18.10
37,2019,A00,14_11,1982,18.15
37,2019,A00,14_11,1970,18.20
37,2019,A00,14_11,1957,18.25
37,2019,A00,14_11,1942,18.30
37,2019,A00,14_11,1929,18.35
37,2019,A00,14_11,1918,18.40
37,2019,A00,14_11,1905,18.45
37,2019,A00,14_11,1893,18.50
37,2019,A00,14_11,1875,18.55
37,2019,A00,14_11,1858,18.60
37,2019,A00,14_11,1840,18.65
37,2019,A00,14_11,1824,18.70
37,2019,A00,14_11,1802,18.75
37,2019,A00,14_11,1787,18.80
37,2019,A00,14_11,1777,18.85
37,2019,A00,14_11,1762,18.90
37,2019,A00,14_11,1743,18.95
37,2019,A00,14_11,1729,19.00
37,2019,A00,14_11,1714,19.05
37,2019,A00,14_11,1698,19.10
37,2019,A00,14_11,1682,19.15
37,2019,A00,14_11,1662,19.20
37,2019,A00,14_11,1647,19.25
37,2019,A00,14_11,1631,19.30
37,2019,A00,14_11,1613,19.35
37,2019,A00,14_11,1589,19.40
37,2019,A00,14_11,1569,19.45
37,2019,A00,14_11,1551,19.50
37,2019,A00,14_11,1531,19.55
37,2019,A00,14_11,1501,19.60
37,2019,A00,14_11,1484,19.65
37,2019,A00,14_11,1467,19.70
37,2019,A00,14_11,1450,19.75
37,2019,A00,14_11,1432,19.80
37,2019,A00,14_11,1414,19.85
37,2019,A00,14_11,1391,19.90
37,2019,A00,14_11,1374,19.95
37,2019,A00,14_11,1358,20.00
37,2019,A00,14_11,1342,20.05
37,2019,A00,14_11,1322,20.10
37,2019,A00,14_11,1304,20.15
37,2019,A00,14_11,1278,20.20
37,2019,A00,14_11,1257,20.25
37,2019,A00,14_11,1237,20.30
37,2019,A00,14_11,1213,20.35
37,2019,A00,14_11,1183,20.40
