MA_TINH,NĂM_THI,KHOI_THI,GRID_ID,SO_THI_SINH,MOC_DIEM
04,2019,A00,12_16,1439,15.00
04,2019,A00,12_16,1435,15.05
04,2019,A00,12_16,1432,15.10
04,2019,A00,12_16,1431,15.15
04,2019,A00,12_16,1428,15.20
04,2019,A00,12_16,1426,15.25
04,2019,A00,12_16,1426,15.30
04,2019,A00,12_16,1423,15.35
04,2019,A00,12_16,1420,15.40
04,2019,A00,12_16,1419,15.45
04,2019,A00,12_16,1416,15.50
04,2019,A00,12_16,1416,15.55
04,2019,A00,12_16,1414,15.60
04,2019,A00,12_16,1409,15.65
04,2019,A00,12_16,1409,15.70
04,2019,A00,12_16,1407,15.75
04,2019,A00,12_16,1401,15.80
04,2019,A00,12_16,1400,15.85
04,2019,A00,12_16,1399,15.90
04,2019,A00,12_16,1395,15.95
04,2019,A00,12_16,1393,16.00
04,2019,A00,12_16,1388,16.05
04,2019,A00,12_16,1384,16.10
04,2019,A00,12_16,1381,16.15
04,2019,A00,12_16,1378,16.20
04,2019,A00,12_16,1376,16.25
04,2019,A00,12_16,1373,16.30
04,2019,A00,12_16,1368,16.35
04,2019,A00,12_16,1365,16.40
04,2019,A00,12_16,1362,16.45
04,2019,A00,12_16,1357,16.50
04,2019,A00,12_16,1354,16.55
04,2019,A00,12_16,1350,16.60
04,2019,A00,12_16,1348,16.65
04,2019,A00,12_16,1339,16.70
04,2019,A00,12_16,1333,16.75
04,2019,A00,12_16,1327,16.80
04,2019,A00,12_16,1324,16.85
04,2019,A00,12_16,1316,16.90
04,2019,A00,12_16,1311,16.95
04,2019,A00,12_16,1305,17.00
04,2019,A00,12_16,1300,17.05
04,2019,A00,12_16,1293,17.10
04,2019,A00,12_16,1285,17.15
04,2019,A00,12_16,1285,17.20
04,2019,A00,12_16,1275,17.25
04,2019,A00,12_16,1270,17.30
04,2019,A00,12_16,1260,17.35
04,2019,A00,12_16,1252,17.40
04,2019,A00,12_16,1246,17.45
04,2019,A00,12_16,1241,17.50
04,2019,A00,12_16,1230,17.55
04,2019,A00,12_16,1222,17.60
04,2019,A00,12_16,1214,17.65
04,2019,A00,12_16,1208,17.70
04,2019,A00,12_16,1199,17.75
04,2019,A00,12_16,1193,17.80
04,2019,A00,12_16,1179,17.85
04,2019,A00,12_16,1176,17.90
04,2019,A00,12_16,1173,17.95
04,2019,A00,12_16,1167,18.00
04,2019,A00,12_16,1162,18.05
04,2019,A00,12_16,1154,18.10
04,2019,A00,12_16,1147,18.15
04,2019,A00,12_16,1145,18.20
04,2019,A00,12_16,1137,18.25
04,2019,A00,12_16,1125,18.30
